original_sim_idx,node_count,edge_count,degree_mean,degree_std,edge_len_mean,edge_len_std,stiffness_mean,stiffness_std,node_stiffness_mean,node_stiffness_std,horizontal_edge_fraction,vertical_edge_fraction,diagonal_edge_fraction,horizontal_stiffness,vertical_stiffness,diagonal_stiffness,horizontal_edge_len,vertical_edge_len,diagonal_edge_len,angle_mean,angle_std,right_angle_fraction
33,212,611,5.764150943396227,0.753005134068203,2.687502749227658,4.0931769874782375,0.8450764383017139,0.3931060226789766,0.8517958812469153,0.1662060942081422,0.41080196399345337,0.3944353518821604,0.19476268412438624,0.8530915358152048,0.8629011851870667,0.7920717872491404,2.9014598360337107,2.8948937413356117,1.8162047837962623,87.52558742177465,48.495653936536,0.19252776842813868
34,232,670,5.775862068965517,0.7942270900883464,2.7949103251766805,4.302476366371919,0.8430981005305674,0.3960059442475457,0.8505400834984357,0.1499637239410538,0.3880597014925373,0.3835820895522388,0.22835820895522388,0.8705913388958344,0.8732149697231412,0.745789098194222,3.1310241113488493,3.196500334410352,1.5491703462366964,87.10994154229294,49.02644421633325,0.1915673693858845
35,244,701,5.745901639344262,0.7794646692782491,2.686271774105611,4.386048732037297,0.8650465975814471,0.32876575756009957,0.87373527287041,0.13927854128141987,0.4065620542082739,0.43366619115549215,0.15977175463623394,0.8764484951370641,0.8648386765271425,0.8365971975560699,3.015436064778713,2.7922687427581927,1.5609601552465133,91.0486468950592,48.09532167367071,0.2269920611584828
36,300,859,5.726666666666667,0.7780031419530957,2.8391001046016138,4.810365234058622,0.8507997122646349,0.3941785302780158,0.8590129750957564,0.161031156760991,0.4190919674039581,0.3713620488940629,0.20954598370197905,0.8351774857276015,0.8827538506177526,0.8254143312573433,3.0746106213993496,3.2235299898632643,1.686783885459105,88.78160449738922,48.03717347441364,0.19778366658636473
37,164,478,5.829268292682927,0.8085650953293061,2.7551964914823674,3.9078659376931846,0.8656926660108766,0.3819849978888218,0.8752687129695033,0.1565358011483757,0.40376569037656906,0.3912133891213389,0.20502092050209206,0.8890756955418562,0.8739498995523401,0.8038862642585015,2.9534781431595896,3.1662442416430796,1.5803568174644393,87.73140376814976,49.07248349914212,0.21210838272650295
38,192,548,5.708333333333333,0.7761640004248815,2.4945329050295544,3.9721462680433137,0.86040890869433,0.11180755998457505,0.8671257904582909,0.07731294255776042,0.3722627737226277,0.35766423357664234,0.27007299270072993,0.851468183538493,0.8681900388732249,0.8624278709695146,2.8389926248905706,3.033879639846938,1.3054670747872945,95.34207537049555,45.878298732306305,0.1417740712661107
39,284,814,5.732394366197183,0.8342618645004753,2.535857505309201,4.541474634542872,0.8612122221572979,0.11828430519901291,0.8693198532860483,0.08134699567621922,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.8485519469187066,0.8660486229770893,0.8716440547156978,3.0745387743856454,2.941878565662616,1.2762543994027216,97.11250908626315,45.39676722542599,0.13161225006327512
40,128,368,5.75,0.7905694150420949,2.7829422891625892,3.591523897183385,0.8274124881009692,0.28889896300721896,0.834229658161556,0.12102899294755158,0.4076086956521739,0.3967391304347826,0.1956521739130435,0.8335634615023931,0.8568084589014314,0.7549894638359547,3.1771537603934608,2.9135948195032877,1.6967340931296349,86.78268897816821,48.320565679530894,0.21308724832214765
41,108,309,5.722222222222222,0.8146043499230656,2.6730433259774182,3.2656523328503027,0.840924698075816,0.34749840582198327,0.8453317069121665,0.13308499737423923,0.37540453074433655,0.4174757281553398,0.20711974110032363,0.8623438233445431,0.8141771587290505,0.8560155425220728,2.90339216564236,3.0247554192247317,1.5466163661330938,83.25412363368865,48.826985567998996,0.20735785953177258
42,228,656,5.754385964912281,0.8225058364723539,2.7974058679509453,4.336743937337812,0.838953479443018,0.3439657169869417,0.8463759023293156,0.12820143495526348,0.4115853658536585,0.3902439024390244,0.19817073170731708,0.866633634324427,0.8429796516429633,0.773535464818661,3.066405549645424,3.095690075540915,1.651323781792934,87.4305147518028,48.79768188481247,0.19868585732165206
43,212,609,5.745283018867925,0.7404909227619022,2.601594963831267,4.19533575540374,0.8811045643339799,0.26484113725613195,0.8895008071647874,0.13198456069242284,0.4088669950738916,0.38752052545155996,0.20361247947454844,0.9111988871212465,0.8833950674634868,0.8163138779421006,2.876461136532596,2.8949041763099572,1.491412293286093,94.0265573496058,47.043749932381075,0.19877883310719133
44,180,522,5.8,0.7483314773547882,2.649390407848632,3.9470263156233254,0.8734636513437805,0.3484433278268003,0.8817568768915676,0.14029412540825864,0.4061302681992337,0.41954022988505746,0.1743295019157088,0.8998321185134491,0.8696589780180422,0.8211901174796806,2.7511745536664747,2.9865412163680003,1.6008819904956189,90.21899559682564,47.925079381863206,0.2214397496087637
45,124,354,5.709677419354839,0.7908161723955652,2.482913467675279,3.4298043848898887,0.863086634268195,0.11872187789985876,0.870605819579643,0.08607952449899947,0.3785310734463277,0.3644067796610169,0.2570621468926554,0.8622700269542524,0.8655595677767614,0.8607835239106483,2.784958280289351,2.9768534168716547,1.3379435958443107,92.67387179552415,46.85190359786567,0.12075029308323564
