dataset,source,target,pearson_r,abs_pearson_r,r2,n
Reid CV2,node_stiffness_std,final_disp_anisotropy,-0.13194340494727486,0.13194340494727486,0.017409062109080557,67
Reid CV2,node_stiffness_std,final_p_ratio,-0.9057114126338803,0.9057114126338803,0.820313162975259,67
Reid CV2,node_stiffness_std,initial_z0,-0.9276175729120137,0.9276175729120137,0.8604743615751751,67
Reid CV2,node_stiffness_std,initial_z_linear_p_ratio,-0.9270067710427428,0.9270067710427428,0.8593415535590921,67
Reid CV2,node_stiffness_mean,early_x_strain,-0.16775344660625607,0.16775344660625607,0.028141218848278006,67
Reid CV2,node_stiffness_mean,early_y_strain,-0.8896844859278364,0.8896844859278364,0.7915384845006787,67
Reid CV2,node_stiffness_mean,early_mean_abs_dx,-0.093975523081224,0.093975523081224,0.008831398938389665,67
Reid CV2,node_stiffness_mean,early_mean_abs_dy,-0.7699943908593677,0.7699943908593677,0.5928913619548888,67
Reid CV2,node_stiffness_mean,early_disp_anisotropy,0.5720890001290065,0.5720890001290065,0.32728582406860646,67
Reid CV2,node_stiffness_mean,final_x_strain,-0.05754140128991233,0.05754140128991233,0.003311012862406724,67
Reid CV2,node_stiffness_mean,final_y_strain,-0.8709718277256545,0.8709718277256545,0.7585919246917672,67
Reid CV2,node_stiffness_mean,final_mean_abs_dx,0.2518363993101736,0.2518363993101736,0.06342157201751321,67
Reid CV2,node_stiffness_mean,final_mean_abs_dy,0.3082485625626279,0.3082485625626279,0.09501717632192633,67
Reid CV2,node_stiffness_mean,final_disp_anisotropy,-0.12048449646090806,0.12048449646090806,0.014516513887438567,67
Reid CV2,node_stiffness_mean,final_p_ratio,-0.8847677985474286,0.8847677985474286,0.7828140573464631,67
Reid CV2,node_stiffness_mean,initial_z0,-0.9851974393365969,0.9851974393365969,0.9706139944753874,67
Reid CV2,node_stiffness_mean,initial_z_linear_p_ratio,-0.9845391945641845,0.9845391945641845,0.9693174256330931,67
