dataset,latent_dim,sim_idx,final_p_ratio,variant,z0,z1
Reid CV1,1,57,-0.06082767686482228,stiffness_global_mean,-3.0027153491973877,
Reid CV1,1,57,-0.06082767686482228,stiffness_network_mean,-3.298175096511841,
Reid CV1,1,57,-0.06082767686482228,edge_geometry_train_mean,-3.2468678951263428,
Reid CV1,1,57,-0.06082767686482228,zero_ref_pos,-3.3274614810943604,
Reid CV1,1,58,-0.15711103408322405,normal,-3.2045562267303467,
Reid CV1,1,58,-0.15711103408322405,stiffness_global_mean,-2.9117372035980225,
Reid CV1,1,58,-0.15711103408322405,stiffness_network_mean,-3.1670291423797607,
Reid CV1,1,58,-0.15711103408322405,edge_geometry_train_mean,-3.1464500427246094,
Reid CV1,1,58,-0.15711103408322405,zero_ref_pos,-3.2106964588165283,
Reid CV1,1,59,-0.1623723264424866,normal,-3.3636209964752197,
Reid CV1,1,59,-0.1623723264424866,stiffness_global_mean,-2.9661130905151367,
Reid CV1,1,59,-0.1623723264424866,stiffness_network_mean,-3.3062565326690674,
Reid CV1,1,59,-0.1623723264424866,edge_geometry_train_mean,-3.2876851558685303,
Reid CV1,1,59,-0.1623723264424866,zero_ref_pos,-3.353555917739868,
Reid CV1,1,60,-0.07075996703199396,normal,-3.192978620529175,
Reid CV1,1,60,-0.07075996703199396,stiffness_global_mean,-2.9681804180145264,
Reid CV1,1,60,-0.07075996703199396,stiffness_network_mean,-3.1825664043426514,
Reid CV1,1,60,-0.07075996703199396,edge_geometry_train_mean,-3.1465179920196533,
Reid CV1,1,60,-0.07075996703199396,zero_ref_pos,-3.19218373298645,
Reid CV1,1,61,-0.16665686710960664,normal,-3.3905155658721924,
Reid CV1,1,61,-0.16665686710960664,stiffness_global_mean,-3.0212438106536865,
Reid CV1,1,61,-0.16665686710960664,stiffness_network_mean,-3.3257806301116943,
Reid CV1,1,61,-0.16665686710960664,edge_geometry_train_mean,-3.2843637466430664,
Reid CV1,1,61,-0.16665686710960664,zero_ref_pos,-3.3723909854888916,
Reid CV1,1,62,0.21269403862426334,normal,-2.962379217147827,
Reid CV1,1,62,0.21269403862426334,stiffness_global_mean,-2.9350697994232178,
Reid CV1,1,62,0.21269403862426334,stiffness_network_mean,-2.942340612411499,
Reid CV1,1,62,0.21269403862426334,edge_geometry_train_mean,-2.903435707092285,
