dataset,sim_idx,final_p_ratio,mean_frame_p_ratio,final_frame_p_ratio,initial_z0,mean_z0,final_z0,slope_z0,initial_pc1,mean_pc1,final_pc1,slope_pc1,initial_z1,mean_z1,final_z1,slope_z1,initial_pc2,mean_pc2,final_pc2,slope_pc2,initial_z_linear_p_ratio
Reid CV2,13,-0.17377978528774052,-0.1328662698037373,-0.1731663299134904,3.1981875896453857,14.093493182659149,29.579893112182617,26.38170552253723,-10.149960565221201,3.6604843179818762,23.263920660216854,33.413881225438054,2.6557695865631104,11.142293674945831,23.1618595123291,20.50608992576599,0.004104710375785783,-0.015572582809632456,-0.07745369686248528,-0.08155840723827107,4.104219325345675
Reid CV2,14,0.24101002113566364,0.24202201736468099,0.24101945036400144,3.7591490745544434,9.162205810546874,14.674988746643066,10.915839672088623,-9.451408006655955,-2.5877780536898327,4.415408490242259,13.866816496898213,3.0724077224731445,7.305194234848022,11.624215126037598,8.551807403564453,-0.012908424782395104,-0.0035478456261485766,0.006218931418263513,0.019127356200658616,4.799093828398025
Reid CV2,15,-0.08436423666781437,-0.06771996491574266,-0.08415424474979463,3.354621171951294,10.684856679439545,18.535091400146484,15.18047022819519,-9.95701540202745,-0.6491931816371503,9.316348971423517,19.273364373450967,2.7689380645751953,8.505074424743652,14.643956184387207,11.875018119812012,-0.0030180762114644802,0.004627268566361675,0.009528763038973721,0.012546839250438202,4.296462413360794
Reid CV2,16,0.30795067109622015,0.3065847325899842,0.30801986633556105,3.7301526069641113,8.512662892341615,13.3682279586792,9.638075351715088,-9.490775546673651,-3.4142392151473877,2.7558718932007293,12.24664743987438,3.0455777645111084,6.794175589084626,10.601258277893066,7.555680513381958,-0.01620062312345824,-0.006377600154916416,0.004559652791588119,0.02076027591504636,4.760484016436663
Reid CV2,17,-0.033541463369191324,-0.019454499806535158,-0.0333348614309341,3.3773903846740723,10.362745592594147,17.691421508789062,14.31403112411499,-9.928687347003708,-1.0579176157918473,8.247449580847624,18.17613692785133,2.7858071327209473,8.253479290008546,13.987624168395996,11.201817035675049,-0.003741821120236973,0.004659143681230896,0.011695240505273288,0.01543706162551026,4.32464569323781
Reid CV2,18,-0.0473741087700227,-0.03514801769330729,-0.047212948834135016,3.0859737396240234,11.140290904045106,20.686586380004883,17.60061264038086,-10.294559939133418,-0.06923646991658795,12.043773706232368,22.338333645365786,2.564528226852417,8.864151253700257,16.320240020751953,13.755711793899536,0.0012842631296496603,0.007218516503326275,0.005998272070742108,0.0047140089410924475,3.9612025289569153
Reid CV2,19,0.2511593493496609,0.2516583920577673,0.25118170731359013,3.668189287185669,8.799094514846802,14.059412002563477,10.391222715377808,-9.565504522294773,-3.0522419300758745,3.626150937073855,13.19165545936863,3.003507614135742,7.0155407381057735,11.130149841308594,8.126642227172852,-0.011207552606311847,-0.008266825648208694,-0.004161251268252419,0.007046301338059428,4.685737637715155
Reid CV2,20,-0.21987798577425652,-0.1957910126880684,-0.21950520062210058,3.0210654735565186,12.691591742038726,25.136138916015625,22.115073442459106,-10.374561317751596,1.9022625074397477,17.691916426299112,28.066477744050708,2.5176634788513184,10.080822176933289,19.799177169799805,17.281513690948486,0.004311973202816552,0.010987824577392925,0.008294247211090879,0.003982274008274327,3.881482623772533
Reid CV2,21,-0.18996567826885782,-0.1557772295663684,-0.18950784625588388,3.252741575241089,12.010460925102233,21.846878051757812,18.594136476516724,-10.086580270831423,1.0289311756829327,13.511111090018826,23.59769136085025,2.688889741897583,9.53410373687744,17.21848487854004,14.529595136642456,-0.0033799617493430493,-0.0005285745795475156,-0.00045077628234302543,0.0029291854670000237,4.168035196306793
Reid CV2,22,-0.32518965600620253,-0.2865234137683803,-0.3245582816289251,3.2836196422576904,13.291299338340758,25.0102596282959,21.726639986038208,-10.045714102192193,2.6558899647706857,17.522015838983425,27.567729941175617,2.715745449066162,10.537324612140656,19.684329986572266,16.968584537506104,-0.0012258282910079033,0.0015363712753122608,-0.004715787451045034,-0.00348995916003713,4.20827838478471
Reid CV2,23,-0.24482213582355292,-0.21068871386603646,-0.24433047761272236,3.245495080947876,15.08084053993225,31.840484619140625,28.59498953819275,-10.09079119227938,4.925971255364937,26.17203480218924,36.26282599446862,2.6913256645202637,11.934039466381073,24.99199867248535,22.300673007965088,0.003000754442777178,0.0005213130033418397,-0.026902296008468655,-0.029903050451245833,4.163033505917687
