dataset,split,sim_idx,target_index,rollout_steps,filtered_steps,pred_p_ratio,true_p_ratio,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse
Reid CV1,test,26,300,20,20,0.12564615164929316,0.00449731811305185,0.00010788238432724029,0.00031241189572028816,7.246089080581442e-05,0.23194024234816862
Reid CV1,test,27,300,20,20,0.1351867572156197,0.03780550895950586,8.468532905681059e-05,0.00023739333846606314,5.3730989748146385e-05,0.2263373947025374
Reid CV1,test,28,300,20,20,0.130548136843444,-0.15029455984781073,0.0001305870828218758,0.00028686647419817746,5.831424641655758e-05,0.20328010298014834
Reid CV1,test,29,300,20,20,0.11864266729098095,-0.09477366377138113,8.045128925004974e-05,0.00024705741088837385,7.929214189061895e-05,0.3209462189597904
Reid CV1,test,30,300,20,20,0.1392859957443455,0.10535544379502515,8.897006046026945e-05,0.00026518554659560323,6.258445500861853e-05,0.23600251149455437
Reid CV1,test,31,300,20,20,0.1244367985582043,-0.14986033090830955,0.00013128617138136178,0.00028174935141578317,5.82797329116147e-05,0.20684957256781802
Reid CV1,test,32,300,20,20,0.11988928939237899,-0.2550449107826157,0.00015913942479528487,0.00034136162139475346,8.881514077074826e-05,0.2601790453416018
Reid CV1,test,33,300,20,20,0.12304163126593033,0.27848454191328176,6.263537216000259e-05,0.00019704762962646782,4.72421852464322e-05,0.23975008141933282
Reid CV1,test,34,300,20,20,0.11487105969427729,-0.2528022494403142,0.00014135667879600078,0.00028124547679908574,5.537842298508622e-05,0.1969042262131991
Reid CV1,test,35,300,20,20,0.13321214440617427,0.17318020709189122,6.109116657171398e-05,0.00020648035570047796,6.216247129486874e-05,0.3010575562211938
Reid CV1,test,36,300,20,20,0.11883200581683577,-0.06313537096089321,9.01686871657148e-05,0.00022653816267848015,5.90630697843153e-05,0.2607201766182858
Reid CV1,test,37,300,20,20,0.13166626447876448,0.24458121827411167,0.00011179873399669304,0.00030788249569013715,6.165990635054186e-05,0.200270905990701
Reid CV1,test,38,300,20,20,0.12223973682406963,0.2786515334103932,0.0001123365291277878,0.0003377287939656526,7.383366755675524e-05,0.2186182193404102
Reid CV1,test,39,300,20,20,0.12161103910131778,-0.16543573736822867,0.0001677906111581251,0.00039840448880568147,8.441279351245612e-05,0.2118771145513568
Reid CV1,test,40,300,20,20,0.12678698680938322,-0.11301655353102298,7.633964560227469e-05,0.00021717285562772304,7.009315595496446e-05,0.32275284013909133
Reid CV1,test,41,300,20,20,0.1315435082872928,0.16631888566346606,7.604862184962258e-05,0.00021395375370047987,4.400228863232769e-05,0.2056626157348367
Reid CV1,test,42,300,20,20,0.13020586678552526,0.21047223075287613,0.000132602101075463,0.00037605580291710794,7.316525443457067e-05,0.19455956766793495
Reid CV1,test,43,300,20,20,0.1230771569283152,-0.36430817739167565,0.000122200304758735,0.00024451795616187155,6.4183070207946e-05,0.2624881673943677
Reid CV1,test,44,300,20,20,0.127066400858764,-0.14233597365357864,0.00013722562289331108,0.00029374839505180717,6.457216659327969e-05,0.21982134262177455
Reid CV1,test,45,300,20,20,0.11437793517002952,-0.27240288404944085,0.00014191048103384674,0.00030152726685628295,6.022532033966854e-05,0.19973424283507255
Reid CV1,test,46,300,20,20,0.11557627166092775,-0.18137483650894848,0.00015617467579431832,0.00036098441341891885,6.926748756086454e-05,0.19188498169443205
Reid CV1,test,47,300,20,20,0.12057455852566114,0.1311839592616168,9.80434415396303e-05,0.00030483718728646636,6.994933937676251e-05,0.22946458730780975
Reid CV1,test,48,300,20,20,0.13042137718396712,0.19351047956272663,6.553225830430165e-05,0.0002055610530078411,4.793499465449713e-05,0.23319103474659014
Reid CV1,test,49,300,20,20,0.11601551606115154,-0.18161745707373217,0.00016937260807026178,0.00041547822183929384,9.16644130484201e-05,0.22062386962817926
Reid CV1,test,50,300,20,20,0.12134606962995402,-0.17821228682858814,0.00015651682042516768,0.00037072214763611555,7.611548062413931e-05,0.20531678808370224
Reid CV1,test,51,300,20,20,0.10853826362711662,-0.1850638087435324,0.00012960872845724225,0.00029830142739228904,6.791316263843328e-05,0.22766623422529692
Reid CV1,test,52,300,20,20,0.11961730449251248,0.3376969457069547,0.00010224344441667199,0.0002749907725956291,5.265427898848429e-05,0.19147653025402359
Reid CV1,test,53,300,20,20,0.11846952989728302,-0.32689552516513165,0.0002261877671116963,0.0004645266162697226,8.265931683126837e-05,0.17794312303360696
Reid CV1,test,54,300,20,20,0.1165919916326271,-0.04504457613633829,0.00011568627814995125,0.0003075989370699972,7.708693010499701e-05,0.2506085711455339
Reid CV1,test,55,300,20,20,0.12018627436157184,-0.045854488806831295,0.00011487627489259467,0.0003055842244066298,6.337832019198686e-05,0.20740049757166665
Reid CV1,test,56,300,20,20,0.12420564451032479,-0.2203852128443177,0.00012078013241989538,0.0002825253177434206,6.59644283587113e-05,0.23348147658263263
Reid CV1,test,57,300,20,20,0.1204264663086325,-0.039339657895054066,0.00010758118878584355,0.00032556074438616633,8.519372204318643e-05,0.26168303000970305
Reid CV1,test,58,300,20,20,0.11821047197239355,-0.12440669497876593,0.00017000811931211501,0.0004131565219722688,7.827522495063022e-05,0.1894565879705127
Reid CV1,test,59,300,20,20,0.11493192429198468,-0.13946983572574576,0.00010998829384334385,0.000271784228971228,8.040764805627987e-05,0.2958510446343525
