dataset,split,sim_idx,final_p_ratio,z0,sweep_latent_dim,sweep_train_count,sweep_train_frames,z1,z2
CV1 | nets=1 | frames=25,test,23,-0.2110936628700718,-0.6769707202911377,1,1,25,,
CV1 | nets=1 | frames=25,test,24,-0.135107647284631,-0.6791768670082092,1,1,25,,
CV1 | nets=1 | frames=25,test,25,-0.2879174109079594,-0.6629880666732788,1,1,25,,
CV1 | nets=1 | frames=25,test,26,-0.0869858031149348,-0.6638965606689453,1,1,25,,
CV1 | nets=1 | frames=25,test,27,0.0729596003150843,-0.6522101759910583,1,1,25,,
CV1 | nets=1 | frames=25,test,28,-0.0473741087700227,-0.6717674136161804,1,1,25,,
CV1 | nets=1 | frames=25,test,29,-0.1740479126403528,-0.6834510564804077,1,1,25,,
CV1 | nets=1 | frames=25,test,30,-0.1534844106106529,-0.7204182147979736,1,1,25,,
CV1 | nets=1 | frames=25,test,31,-0.3339993893646671,-0.6526810526847839,1,1,25,,
CV1 | nets=1 | frames=25,test,32,-0.2983576891176249,-0.6618940830230713,1,1,25,,
CV1 | nets=1 | frames=25,test,33,-0.0843642366678143,-0.6569586992263794,1,1,25,,
CV1 | nets=1 | frames=25,test,34,-0.2273098506600647,-0.6382221579551697,1,1,25,,
CV1 | nets=1 | frames=25,test,35,0.150316153738502,-0.6180999875068665,1,1,25,,
CV1 | nets=1 | frames=25,test,36,-0.2691509251686252,-0.6566997170448303,1,1,25,,
CV1 | nets=1 | frames=25,test,37,0.1269998279169667,-0.6599029898643494,1,1,25,,
CV1 | nets=1 | frames=25,test,38,0.3220806426408416,-0.62212073802948,1,1,25,,
CV1 | nets=1 | frames=25,test,39,-0.3233661435786948,-0.7116173505783081,1,1,25,,
CV1 | nets=1 | frames=25,test,40,-0.1666568671096066,-0.6870598196983337,1,1,25,,
CV1 | nets=1 | frames=25,test,41,-0.0608276768648222,-0.6949964165687561,1,1,25,,
CV1 | nets=1 | frames=25,test,42,0.2821721893243829,-0.5903398990631104,1,1,25,,
CV1 | nets=1 | frames=25,test,43,-0.0591450573123482,-0.6836830377578735,1,1,25,,
CV1 | nets=1 | frames=25,test,44,-0.2523187814106471,-0.6943169236183167,1,1,25,,
CV1 | nets=1 | frames=25,test,45,0.2693791688852633,-0.6159153580665588,1,1,25,,
CV1 | nets=1 | frames=25,test,46,-0.157111034083224,-0.6601384878158569,1,1,25,,
CV1 | nets=1 | frames=25,test,47,0.1606833051492441,-0.650033712387085,1,1,25,,
CV1 | nets=1 | frames=25,test,48,0.172504695096772,-0.6537768840789795,1,1,25,,
CV1 | nets=1 | frames=25,test,49,0.3873779088920612,-0.5833523273468018,1,1,25,,
CV1 | nets=1 | frames=25,test,50,-0.100209652453205,-0.6557958722114563,1,1,25,,
CV1 | nets=1 | frames=25,test,51,0.1807945702326933,-0.6626878380775452,1,1,25,,
CV1 | nets=1 | frames=25,test,52,-0.2190887259038099,-0.6809654235839844,1,1,25,,
CV1 | nets=1 | frames=25,test,53,0.0386789596579197,-0.668651819229126,1,1,25,,
CV1 | nets=1 | frames=25,test,54,-0.1466400227827606,-0.6698980331420898,1,1,25,,
CV1 | nets=1 | frames=25,test,55,-0.1466582167541242,-0.6817873120307922,1,1,25,,
CV1 | nets=1 | frames=25,test,56,0.3543707109293127,-0.5807141065597534,1,1,25,,
