dataset,split,sim_idx,final_p_ratio,z0,sweep_latent_dim,sweep_train_count,sweep_train_frames,z1,z2
CV1 | nets=1 | frames=10,test,26,-0.08698580311493488,-0.7266877293586731,1,1,10,,
CV1 | nets=1 | frames=10,test,27,0.0729596003150843,-0.6699430346488953,1,1,10,,
CV1 | nets=1 | frames=10,test,28,-0.0473741087700227,-0.7394539713859558,1,1,10,,
CV1 | nets=1 | frames=10,test,29,-0.17404791264035285,-0.7067019939422607,1,1,10,,
CV1 | nets=1 | frames=10,test,30,-0.15348441061065293,-0.7460352778434753,1,1,10,,
CV1 | nets=1 | frames=10,test,31,-0.33399938936466717,-0.699869692325592,1,1,10,,
CV1 | nets=1 | frames=10,test,32,-0.2983576891176249,-0.7452426552772522,1,1,10,,
CV1 | nets=1 | frames=10,test,33,-0.08436423666781437,-0.7028895020484924,1,1,10,,
CV1 | nets=1 | frames=10,test,34,-0.22730985066006476,-0.6936628222465515,1,1,10,,
CV1 | nets=1 | frames=10,test,35,0.15031615373850205,-0.624046266078949,1,1,10,,
CV1 | nets=1 | frames=10,test,36,-0.2691509251686252,-0.6989972591400146,1,1,10,,
CV1 | nets=1 | frames=10,test,37,0.12699982791696676,-0.6620111465454102,1,1,10,,
CV1 | nets=1 | frames=10,test,38,0.32208064264084163,-0.5726445317268372,1,1,10,,
CV1 | nets=1 | frames=10,test,39,-0.32336614357869486,-0.7187517285346985,1,1,10,,
CV1 | nets=1 | frames=10,test,40,-0.16665686710960664,-0.7288547158241272,1,1,10,,
CV1 | nets=1 | frames=10,test,41,-0.06082767686482228,-0.7439351677894592,1,1,10,,
CV1 | nets=1 | frames=10,test,42,0.2821721893243829,-0.6144124269485474,1,1,10,,
CV1 | nets=1 | frames=10,test,43,-0.05914505731234828,-0.729227602481842,1,1,10,,
CV1 | nets=1 | frames=10,test,44,-0.2523187814106471,-0.7447109818458557,1,1,10,,
CV1 | nets=1 | frames=10,test,45,0.26937916888526336,-0.6476462483406067,1,1,10,,
CV1 | nets=1 | frames=10,test,46,-0.15711103408322405,-0.7208389639854431,1,1,10,,
CV1 | nets=1 | frames=10,test,47,0.1606833051492441,-0.6698865294456482,1,1,10,,
CV1 | nets=1 | frames=10,test,48,0.17250469509677205,-0.6080347895622253,1,1,10,,
CV1 | nets=1 | frames=10,test,49,0.3873779088920612,-0.5482606291770935,1,1,10,,
CV1 | nets=1 | frames=10,test,50,-0.100209652453205,-0.6914880275726318,1,1,10,,
CV1 | nets=1 | frames=10,test,51,0.18079457023269338,-0.6599937677383423,1,1,10,,
CV1 | nets=1 | frames=10,test,52,-0.21908872590380996,-0.7359432578086853,1,1,10,,
CV1 | nets=1 | frames=10,test,53,0.03867895965791973,-0.6958943009376526,1,1,10,,
CV1 | nets=1 | frames=10,test,54,-0.14664002278276062,-0.7242205142974854,1,1,10,,
CV1 | nets=1 | frames=10,test,55,-0.1466582167541242,-0.7140954732894897,1,1,10,,
CV1 | nets=1 | frames=10,test,56,0.3543707109293127,-0.6110332012176514,1,1,10,,
CV1 | nets=1 | frames=10,test,57,-0.2504451898786599,-0.6842387914657593,1,1,10,,
CV1 | nets=1 | frames=10,test,58,-0.0803696162881754,-0.6966110467910767,1,1,10,,
CV1 | nets=1 | frames=10,test,59,-0.12771201037928526,-0.7321496605873108,1,1,10,,
CV1 | nets=1 | frames=10,test,60,0.3812481697430855,-0.5693649053573608,1,1,10,,
CV1 | nets=1 | frames=10,test,61,-0.40037890147830096,-0.7130003571510315,1,1,10,,
CV1 | nets=1 | frames=10,test,62,0.2511593493496609,-0.65754634141922,1,1,10,,
CV1 | nets=1 | frames=10,test,63,-0.1963377719651293,-0.698900043964386,1,1,10,,
CV1 | nets=1 | frames=10,test,64,0.20114686937290777,-0.6615875363349915,1,1,10,,
CV1 | nets=1 | frames=10,test,65,0.18341754005038485,-0.6603550910949707,1,1,10,,
CV1 | nets=1 | frames=10,test,66,0.1677718678598186,-0.6840234398841858,1,1,10,,
CV1 | nets=1 | frames=10,test,67,0.21035491246831667,-0.5939108729362488,1,1,10,,
CV1 | nets=1 | frames=10,test,68,-0.2124182814927736,-0.7500969171524048,1,1,10,,
CV1 | nets=1 | frames=10,test,69,0.24274224639077988,-0.6327705979347229,1,1,10,,
CV1 | nets=1 | frames=10,test,70,-0.19806003763724905,-0.7682187557220459,1,1,10,,
CV1 | nets=1 | frames=10,test,71,-0.3247762104239115,-0.7642934918403625,1,1,10,,
CV1 | nets=1 | frames=10,test,72,-0.17738836707016928,-0.7644705176353455,1,1,10,,
CV1 | nets=1 | frames=10,test,73,-0.20617802151122547,-0.6858506798744202,1,1,10,,
CV1 | nets=1 | frames=10,test,74,-0.1515654324056017,-0.7265509963035583,1,1,10,,
CV1 | nets=1 | frames=10,test,75,-0.13193082504033954,-0.7291324138641357,1,1,10,,
CV1 | nets=1 | frames=25,train,0,-0.06695112756186168,-0.6599212884902954,1,1,25,,
CV1 | nets=1 | frames=25,test,0,-0.2360464098886152,-0.6257082223892212,1,1,25,,
CV1 | nets=1 | frames=25,test,1,0.1295779047889524,-0.6202985048294067,1,1,25,,
CV1 | nets=1 | frames=25,test,2,-0.1623723264424866,-0.7050315141677856,1,1,25,,
CV1 | nets=1 | frames=25,test,3,-0.12315607316120104,-0.6572701930999756,1,1,25,,
CV1 | nets=1 | frames=25,test,4,0.3453760393512503,-0.600213348865509,1,1,25,,
CV1 | nets=1 | frames=25,test,5,-0.3979398483632574,-0.6861223578453064,1,1,25,,
CV1 | nets=1 | frames=25,test,6,0.21269403862426334,-0.6172633767127991,1,1,25,,
CV1 | nets=1 | frames=25,test,7,0.0950451355151094,-0.6505839824676514,1,1,25,,
CV1 | nets=1 | frames=25,test,8,-0.06480931009694779,-0.660403847694397,1,1,25,,
CV1 | nets=1 | frames=25,test,9,-0.0036101382641459327,-0.6506832242012024,1,1,25,,
CV1 | nets=1 | frames=25,test,10,0.22590702007093752,-0.6181797385215759,1,1,25,,
CV1 | nets=1 | frames=25,test,11,-0.24482213582355292,-0.6851889491081238,1,1,25,,
CV1 | nets=1 | frames=25,test,12,-0.32518965600620253,-0.677878737449646,1,1,25,,
CV1 | nets=1 | frames=25,test,13,0.1639582164351763,-0.6097500920295715,1,1,25,,
CV1 | nets=1 | frames=25,test,14,0.27673880911901655,-0.6219509840011597,1,1,25,,
CV1 | nets=1 | frames=25,test,15,0.2817123526652541,-0.6244708299636841,1,1,25,,
CV1 | nets=1 | frames=25,test,16,-0.17377978528774052,-0.6790843605995178,1,1,25,,
CV1 | nets=1 | frames=25,test,17,-0.5936111989220015,-0.6987401843070984,1,1,25,,
CV1 | nets=1 | frames=25,test,18,0.27081671507608296,-0.5940579771995544,1,1,25,,
CV1 | nets=1 | frames=25,test,19,-0.04889763898242052,-0.6585716009140015,1,1,25,,
CV1 | nets=1 | frames=25,test,20,0.33742504039823745,-0.5592060089111328,1,1,25,,
CV1 | nets=1 | frames=25,test,21,0.14421983542156405,-0.6426951885223389,1,1,25,,
CV1 | nets=1 | frames=25,test,22,0.2238599590476573,-0.6151936650276184,1,1,25,,
CV1 | nets=1 | frames=25,test,23,-0.21109366287007186,-0.6769707202911377,1,1,25,,
CV1 | nets=1 | frames=25,test,24,-0.13510764728463107,-0.6791768670082092,1,1,25,,
CV1 | nets=1 | frames=25,test,25,-0.2879174109079594,-0.6629880666732788,1,1,25,,
CV1 | nets=1 | frames=25,test,26,-0.08698580311493488,-0.6638965606689453,1,1,25,,
CV1 | nets=1 | frames=25,test,27,0.0729596003150843,-0.6522101759910583,1,1,25,,
CV1 | nets=1 | frames=25,test,28,-0.0473741087700227,-0.6717674136161804,1,1,25,,
CV1 | nets=1 | frames=25,test,29,-0.17404791264035285,-0.6834510564804077,1,1,25,,
CV1 | nets=1 | frames=25,test,30,-0.15348441061065293,-0.7204182147979736,1,1,25,,
CV1 | nets=1 | frames=25,test,31,-0.33399938936466717,-0.6526810526847839,1,1,25,,
CV1 | nets=1 | frames=25,test,32,-0.2983576891176249,-0.6618940830230713,1,1,25,,
CV1 | nets=1 | frames=25,test,33,-0.08436423666781437,-0.6569586992263794,1,1,25,,
CV1 | nets=1 | frames=25,test,34,-0.22730985066006476,-0.6382221579551697,1,1,25,,
CV1 | nets=1 | frames=25,test,35,0.15031615373850205,-0.6180999875068665,1,1,25,,
CV1 | nets=1 | frames=25,test,36,-0.2691509251686252,-0.6566997170448303,1,1,25,,
CV1 | nets=1 | frames=25,test,37,0.12699982791696676,-0.6599029898643494,1,1,25,,
CV1 | nets=1 | frames=25,test,38,0.32208064264084163,-0.62212073802948,1,1,25,,
CV1 | nets=1 | frames=25,test,39,-0.32336614357869486,-0.7116173505783081,1,1,25,,
CV1 | nets=1 | frames=25,test,40,-0.16665686710960664,-0.6870598196983337,1,1,25,,
CV1 | nets=1 | frames=25,test,41,-0.06082767686482228,-0.6949964165687561,1,1,25,,
CV1 | nets=1 | frames=25,test,42,0.2821721893243829,-0.5903398990631104,1,1,25,,
CV1 | nets=1 | frames=25,test,43,-0.05914505731234828,-0.6836830377578735,1,1,25,,
CV1 | nets=1 | frames=25,test,44,-0.2523187814106471,-0.6943169236183167,1,1,25,,
CV1 | nets=1 | frames=25,test,45,0.26937916888526336,-0.6159153580665588,1,1,25,,
CV1 | nets=1 | frames=25,test,46,-0.15711103408322405,-0.6601384878158569,1,1,25,,
CV1 | nets=1 | frames=25,test,47,0.1606833051492441,-0.650033712387085,1,1,25,,
CV1 | nets=1 | frames=25,test,48,0.17250469509677205,-0.6537768840789795,1,1,25,,
CV1 | nets=1 | frames=25,test,49,0.3873779088920612,-0.5833523273468018,1,1,25,,
CV1 | nets=1 | frames=25,test,50,-0.100209652453205,-0.6557958722114563,1,1,25,,
CV1 | nets=1 | frames=25,test,51,0.18079457023269338,-0.6626878380775452,1,1,25,,
CV1 | nets=1 | frames=25,test,52,-0.21908872590380996,-0.6809654235839844,1,1,25,,
CV1 | nets=1 | frames=25,test,53,0.03867895965791973,-0.668651819229126,1,1,25,,
CV1 | nets=1 | frames=25,test,54,-0.14664002278276062,-0.6698980331420898,1,1,25,,
CV1 | nets=1 | frames=25,test,55,-0.1466582167541242,-0.6817873120307922,1,1,25,,
