dataset,split,rollout_steps,used,p_ratio_r2,p_ratio_pearson,p_ratio_mse,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse,sweep_latent_dim,sweep_train_count,sweep_train_frames
CV1 | nets=1 | frames=2,test,80,76,,,0.1353380108461232,0.0021905114408582,0.0021913125069419,1.1347498484719147e-08,5.326926853936371e-06,1,1,2
CV1 | nets=4 | frames=100,test,80,73,-0.390861953735921,-0.8801660448511225,0.0662024209653184,0.0006293474793456,0.0021915743175307,0.0017667356280495,0.8430945076704268,1,4,100
CV1 | nets=8 | frames=2,test,80,69,-0.515484914381352,0.2665647813423219,0.069633194082802,0.0021196836706898,0.0021789927892656,7.643765501518868e-07,0.0003632049937029,1,8,2
CV1 | nets=8 | frames=5,test,80,69,-9.28934952986484,0.4604546570296559,0.4727729494366798,0.0019352860677906,0.0021789927892656,0.0001787045607604,0.0844897380974397,1,8,5
CV1 | nets=8 | frames=10,test,80,69,-0.0178404542073573,0.3132425314142411,0.0467675271595038,0.0008523227930392,0.0021789927892656,0.0012001306007521,0.5733415585367952,1,8,10
CV1 | nets=8 | frames=25,test,80,69,-1.9941001034782544,0.6695909133556128,0.1375723054913731,0.0008917755094707,0.0021789927892656,0.0005222458988799,0.2457540516132547,1,8,25
CV1 | nets=8 | frames=50,test,80,69,-1.217019783142339,0.7311028368716669,0.1018671762285288,0.0006329214331766,0.0021789927892656,0.0008383136752156,0.3917400799095153,1,8,50
CV1 | nets=8 | frames=100,test,80,69,0.3759833724381903,0.8824034468009496,0.0286721896902847,0.0005012680675713,0.0021789927892656,0.0010708702822634,0.4965126974533235,1,8,100
CV2 | nets=1 | frames=2,test,80,76,-0.4053432082530235,-0.1322894459281665,0.0656584401262329,0.0021886215545237,0.0021913125069419,3.95861778737078e-09,1.851978809563917e-06,2,1,2
CV2 | nets=1 | frames=5,test,80,76,-0.0031766644370743,-0.0928554874255958,0.0468689887076444,0.0008189104846678,0.0021913125069419,0.0011303830174974,0.53929103923474,2,1,5
CV2 | nets=1 | frames=10,test,80,76,-0.1444443937253696,0.3830983567804488,0.0534690979839931,0.0016367055489497,0.0021913125069419,0.0002150970105599,0.1023322431889444,2,1,10
