dataset,latent_dim,hidden_size,epoch,train_dz_mse_norm,val_dz_mse_norm,val_dz_mse_raw,sweep_latent_dim,sweep_train_count,sweep_train_frames
CV1 | nets=1 | frames=2,1,128,1,0.4824010133743286,25.29904132353887,0.021722603303873256,1,1,2
CV1 | nets=1 | frames=100,1,128,2,0.9097487897827075,247.42517686367034,3.553249469012698e-06,1,1,100
CV1 | nets=1 | frames=100,1,128,3,0.9273313236637757,248.1876832859516,3.564199745401453e-06,1,1,100
CV1 | nets=1 | frames=100,1,128,4,0.9384178054304078,247.44840718126298,3.553583070996069e-06,1,1,100
CV1 | nets=1 | frames=100,1,128,5,0.9221984844368237,247.92058823418617,3.560364049715048e-06,1,1,100
CV1 | nets=1 | frames=100,1,128,6,0.9206068101697243,248.2111260008812,3.5645364118508382e-06,1,1,100
CV1 | nets=1 | frames=100,1,128,7,0.9179265737049997,248.04630655765533,3.562169431353013e-06,1,1,100
CV1 | nets=1 | frames=100,1,128,8,0.9347380184066983,248.34752160334588,3.5664951724854176e-06,1,1,100
CV1 | nets=1 | frames=100,1,128,9,0.9247455416390529,248.11155595493318,3.56310645480562e-06,1,1,100
CV1 | nets=1 | frames=100,1,128,10,0.9348379428713367,248.0423235156536,3.5621122756843703e-06,1,1,100
CV1 | nets=1 | frames=100,1,128,11,0.9251101512032059,247.81668497443198,3.558871850239953e-06,1,1,100
CV1 | nets=1 | frames=100,1,128,12,0.9140809059429628,248.08250257885456,3.5626892868023673e-06,1,1,100
CV1 | nets=1 | frames=100,1,128,13,0.9297986364421936,247.75595371723176,3.5579997044425936e-06,1,1,100
CV1 | nets=1 | frames=100,1,128,14,0.9227756219557844,248.28574658632277,3.565608055726699e-06,1,1,100
CV1 | nets=1 | frames=100,1,128,15,0.9462147960439324,248.21602624201773,3.5646067974006713e-06,1,1,100
CV1 | nets=1 | frames=100,1,128,16,0.929820135808908,247.7108956427574,3.5573526523222653e-06,1,1,100
CV1 | nets=1 | frames=100,1,128,17,0.9454875700175762,248.26423016405104,3.5652990215009337e-06,1,1,100
CV1 | nets=2 | frames=2,1,128,1,0.7206307053565979,131.76202124224602,3.1793678332841955,1,2,2
CV1 | nets=2 | frames=2,1,128,2,0.6587307453155518,654.1070174071789,15.783355316814035,1,2,2
CV1 | nets=2 | frames=2,1,128,3,0.6159198880195618,1873.6223272180557,45.209799235261976,1,2,2
CV1 | nets=2 | frames=2,1,128,4,0.5918667912483215,3544.5603667020796,85.52890450678765,1,2,2
CV1 | nets=2 | frames=2,1,128,5,0.5847922563552856,5444.435854708671,131.37218185552953,1,2,2
CV1 | nets=2 | frames=2,1,128,6,0.5901446342468262,7193.983826324463,173.5881117411554,1,2,2
CV1 | nets=2 | frames=2,1,128,7,0.6000897288322449,8484.550200845719,204.7289973938465,1,2,2
