original_sim_idx,intervention,target,predicted_value,predicted_shift_from_baseline
18,baseline,final_p_ratio,-0.28446935982444155,0.0
18,baseline,mean_y_compression,0.003745471299269594,0.0
18,baseline,final_y_compression,0.007757009522963871,0.0
18,all_stiffness_plus_10pct,final_p_ratio,-0.3374364365886318,-0.05296707676419027
18,all_stiffness_plus_10pct,mean_y_compression,0.00413444161212915,0.00038897031285955617
18,all_stiffness_plus_10pct,final_y_compression,0.008517001322586735,0.0007599917996228642
18,all_stiffness_minus_10pct,final_p_ratio,-0.2316337114582377,0.05283564836620386
18,all_stiffness_minus_10pct,mean_y_compression,0.003363877959288644,-0.00038159333998095
18,all_stiffness_minus_10pct,final_y_compression,0.007008444545918522,-0.0007485649770453484
18,weak_springs_floor_to_q25,final_p_ratio,-0.2793719579736224,0.005097401850819139
18,weak_springs_floor_to_q25,mean_y_compression,0.004020878784073656,0.000275407484804062
18,weak_springs_floor_to_q25,final_y_compression,0.00855692202703588,0.0007999125040720097
18,weak_springs_plus_25pct,final_p_ratio,-0.27953459429580885,0.004934765528632701
18,weak_springs_plus_25pct,mean_y_compression,0.0036891690777689536,-5.6302221500640574e-05
18,weak_springs_plus_25pct,final_y_compression,0.0076295541038690585,-0.00012745541909481208
18,half_homogenize_to_mean,final_p_ratio,0.14061203840894682,0.42508139823338836
18,half_homogenize_to_mean,mean_y_compression,-0.003355816595924864,-0.007101287895194458
18,half_homogenize_to_mean,final_y_compression,-0.007470841180962715,-0.015227850703926585
19,baseline,final_p_ratio,-0.27176285155694746,0.0
19,baseline,mean_y_compression,0.004324571637137769,0.0
