dataset,split,sim_idx,frames,final_p_ratio,mean_x_compression,final_x_compression,mean_axis_p_ratio,initial_axis_p_ratio,final_axis_p_ratio,slope_axis_p_ratio,range_axis_p_ratio,early_slope_axis_p_ratio,mean_axis_x_compression,initial_axis_x_compression,final_axis_x_compression,slope_axis_x_compression,range_axis_x_compression,early_slope_axis_x_compression,original_sim_idx,abs_final_p_ratio_diff,raw_frames
dePablo CV2,test,10,141,0.1339311443087889,0.00477300701525858,0.0095469192851246,1.0802796861591288,0.9505742824011798,1.201363976840336,0.2507896944391561,0.2507896944391561,0.26856509959675706,0.05117772729329106,-1.896394701224504,2.00835284663794,3.904747547862444,3.904747547862444,3.8772149021710165,31,5.551115123125783e-17,141
dePablo CV2,test,11,178,-0.1190216243930391,0.004625270139288424,0.0091603670174207,-0.09545952698611208,-0.0411591083399869,-0.2010538243325578,-0.1598947159925709,0.1644018614598234,-0.05551270738977109,0.05683006492019727,-1.5364528359487957,1.6613634673063309,3.1978163032551263,3.1978163032551263,3.1616217742508743,90,8.326672684688674e-17,178
dePablo CV2,test,12,176,-0.36685866738795,0.00476705774119921,0.0095063125611164,-0.9007759125941267,-0.7318804632806724,-1.182955067850653,-0.4510746045699807,0.45412105089346355,-0.21470369241785517,0.25713242955941124,-1.242388262911824,1.9645042258181828,3.2068924887300065,3.2068924887300065,2.7279423385603034,27,5.551115123125783e-17,176
dePablo CV2,test,13,155,0.1260059232543453,0.005480775845331243,0.0108853348678298,0.9489738397290055,0.7884797811880045,1.1011098671298625,0.3126300859418579,0.3126300859418579,0.3294299891341651,-0.03255782422647863,-1.9157924312596104,1.839830943336905,3.7556233745965155,3.7556233745965155,3.7760363439799707,2,5.551115123125783e-17,155
dePablo CV2,test,14,158,0.1790333352544131,0.004975974121808307,0.0099514244421611,0.9604214099388451,0.8062700006057553,1.096144470713583,0.28987447010782774,0.28987447010782774,0.33086224700348094,0.09510170086368719,-1.8323886721784075,2.050872698649941,3.8832613708283485,3.8832613708283485,3.8139630976473806,43,2.7755575615628914e-17,158
dePablo CV2,test,15,113,-0.3405376290549624,0.00526044792546022,0.0105378813340999,-0.9372454987401726,-0.8724379419032484,-1.0473574261676708,-0.1749194842644224,0.17722141216721166,-0.08102939981425682,0.06165553456341725,-1.085422323798165,1.2696424267153894,2.3550647505135545,2.3550647505135545,2.1957813120858978,41,0.0,113
dePablo CV2,test,16,172,-0.4547701402624022,0.005600444341966995,0.0112085584543208,-1.3779158666240399,-1.0998187318753243,-1.7657410798682232,-0.6659223479928988,0.6687000063292923,-0.43168941700379015,0.06086248230301186,-1.2199112277327022,1.5538888611017885,2.7738000888344905,2.7738000888344905,2.2694491359685203,28,5.551115123125783e-17,172
dePablo CV2,test,17,189,-0.4436555356265637,0.005253247470692596,0.0105385278283884,-1.2167117100631237,-1.034380828771435,-1.5012190007224095,-0.46683817195097466,0.4698100903820057,-0.23979876823925536,0.23553012330524983,-1.2550020191999895,1.9173584853539647,3.1723605045539545,3.1723605045539545,2.713549176525895,36,0.0,189
dePablo CV2,test,18,180,-0.4991540889734968,0.004492013724320829,0.0090181090200405,-1.4650551600689106,-1.141244583318844,-1.957565232773779,-0.8163206494549349,0.8191740382712904,-0.44651688007442747,0.40589681841747544,-1.0236741898791215,2.132011286964985,3.1556854768441065,3.1556854768441065,2.4472097774784145,71,0.0,180
dePablo CV2,test,19,154,0.0262065534153102,0.004593909929376495,0.0092080414294794,0.5500581750407398,0.4408159932058023,0.642286797085341,0.2014708038795387,0.2014708038795387,0.23812777589204373,-0.17706674606536493,-1.8834998458119456,1.5211690507233988,3.4046688965353447,3.4046688965353447,3.4126894395908693,5,5.551115123125783e-17,154
