target,descriptor,pearson_r,abs_r
mean_axis_p_ratio,hessian_lambda8,0.6471607572373232,0.6471607572373232
mean_axis_p_ratio,hessian_lambda9,0.6525262192358074,0.6525262192358074
mean_axis_p_ratio,hessian_lambda10,0.6411054981911318,0.6411054981911318
mean_axis_p_ratio,hessian_lambda11,0.6203056251877107,0.6203056251877107
mean_axis_p_ratio,hessian_lambda12,0.5910481678069889,0.5910481678069889
mean_axis_p_ratio,hessian_mode5_participation,0.40687860430306183,0.40687860430306183
mean_axis_p_ratio,hessian_mode5_x_fraction,0.21902220447794724,0.21902220447794724
mean_axis_p_ratio,hessian_mode6_participation,0.44431218518588206,0.44431218518588206
mean_axis_p_ratio,hessian_mode6_x_fraction,-0.2299710211895336,0.2299710211895336
mean_axis_p_ratio,hessian_gap_6_5,-0.07700074661301323,0.07700074661301323
initial_axis_p_ratio,node_count,0.02417336271273683,0.02417336271273683
initial_axis_p_ratio,edge_count,0.025160616699226916,0.025160616699226916
initial_axis_p_ratio,edge_density,-0.07269309659173936,0.07269309659173936
initial_axis_p_ratio,mean_degree,0.05214544842237921,0.05214544842237921
initial_axis_p_ratio,std_degree,0.007724057193587422,0.007724057193587422
initial_axis_p_ratio,max_degree,0.009618402625399468,0.009618402625399468
initial_axis_p_ratio,min_degree,-0.11852928505371788,0.11852928505371788
initial_axis_p_ratio,x_span0,0.02803701230357015,0.02803701230357015
initial_axis_p_ratio,y_span0,0.04267559254078319,0.04267559254078319
initial_axis_p_ratio,aspect_ratio0,-0.19830321968324938,0.19830321968324938
initial_axis_p_ratio,x_center0,-0.0513837945746196,0.0513837945746196
initial_axis_p_ratio,y_center0,0.10248770534497291,0.10248770534497291
initial_axis_p_ratio,edge_len_mean,-0.7687417313651316,0.7687417313651316
initial_axis_p_ratio,edge_len_std,-0.11028212130855147,0.11028212130855147
initial_axis_p_ratio,edge_len_min,0.6574470439921585,0.6574470439921585
initial_axis_p_ratio,edge_len_max,0.10780903810389597,0.10780903810389597
initial_axis_p_ratio,stiffness_mean,0.7257934582147691,0.7257934582147691
initial_axis_p_ratio,stiffness_std,-0.9194764590781855,0.9194764590781855
initial_axis_p_ratio,stiffness_min,0.9362646433794708,0.9362646433794708
initial_axis_p_ratio,stiffness_max,-0.5659298875983855,0.5659298875983855
initial_axis_p_ratio,left_mean_degree,0.02230318536455682,0.02230318536455682
initial_axis_p_ratio,right_mean_degree,-0.060561838581098634,0.060561838581098634
initial_axis_p_ratio,top_mean_degree,0.02665402944592559,0.02665402944592559
initial_axis_p_ratio,bottom_mean_degree,-0.044745264278805964,0.044745264278805964
initial_axis_p_ratio,left_right_degree_asymmetry,-0.053038976354529824,0.053038976354529824
initial_axis_p_ratio,top_bottom_degree_asymmetry,0.05032123160487448,0.05032123160487448
initial_axis_p_ratio,hessian_lambda1,,
initial_axis_p_ratio,hessian_lambda2,,
initial_axis_p_ratio,hessian_lambda3,,
initial_axis_p_ratio,hessian_lambda4,0.49756463521726546,0.49756463521726546
initial_axis_p_ratio,hessian_lambda5,0.555632121178371,0.555632121178371
initial_axis_p_ratio,hessian_lambda6,0.4805654259368167,0.4805654259368167
initial_axis_p_ratio,hessian_lambda7,0.5987972783457072,0.5987972783457072
initial_axis_p_ratio,hessian_lambda8,0.6419516124538411,0.6419516124538411
initial_axis_p_ratio,hessian_lambda9,0.6453522961220686,0.6453522961220686
initial_axis_p_ratio,hessian_lambda10,0.6331146794005951,0.6331146794005951
initial_axis_p_ratio,hessian_lambda11,0.6102870947948963,0.6102870947948963
initial_axis_p_ratio,hessian_lambda12,0.5816586810930756,0.5816586810930756
initial_axis_p_ratio,hessian_mode5_participation,0.40441786519048545,0.40441786519048545
initial_axis_p_ratio,hessian_mode5_x_fraction,0.2259688040125371,0.2259688040125371
initial_axis_p_ratio,hessian_mode6_participation,0.4450716656777073,0.4450716656777073
initial_axis_p_ratio,hessian_mode6_x_fraction,-0.2335876542985498,0.2335876542985498
initial_axis_p_ratio,hessian_gap_6_5,-0.08931143274952101,0.08931143274952101
final_axis_p_ratio,node_count,-0.002641255181984723,0.002641255181984723
final_axis_p_ratio,edge_count,-0.0010871608078703158,0.0010871608078703158
final_axis_p_ratio,edge_density,-0.04284872567812879,0.04284872567812879
final_axis_p_ratio,mean_degree,0.07910738806831058,0.07910738806831058
final_axis_p_ratio,std_degree,0.016953527739974477,0.016953527739974477
final_axis_p_ratio,max_degree,0.0063506810453608275,0.0063506810453608275
final_axis_p_ratio,min_degree,-0.10808860554214286,0.10808860554214286
final_axis_p_ratio,x_span0,0.00029033163845356314,0.00029033163845356314
final_axis_p_ratio,y_span0,0.01537572606691905,0.01537572606691905
final_axis_p_ratio,aspect_ratio0,-0.20638226435690263,0.20638226435690263
final_axis_p_ratio,x_center0,-0.047975317817506205,0.047975317817506205
final_axis_p_ratio,y_center0,0.08487259256432135,0.08487259256432135
final_axis_p_ratio,edge_len_mean,-0.7833984443609184,0.7833984443609184
final_axis_p_ratio,edge_len_std,-0.14024469300445627,0.14024469300445627
final_axis_p_ratio,edge_len_min,0.6275816438676747,0.6275816438676747
final_axis_p_ratio,edge_len_max,0.08273909571116485,0.08273909571116485
final_axis_p_ratio,stiffness_mean,0.7282854569968404,0.7282854569968404
final_axis_p_ratio,stiffness_std,-0.9056975820565487,0.9056975820565487
final_axis_p_ratio,stiffness_min,0.91699007093562,0.91699007093562
final_axis_p_ratio,stiffness_max,-0.5523862241894298,0.5523862241894298
