case,case_short,dataset,sim_idx,epoch,train_mse_norm
low final p-ratio,low_p,low_p CV2 sim-61,61,333,0.0002249507763605964
low final p-ratio,low_p,low_p CV2 sim-61,61,334,0.0002299921481088469
low final p-ratio,low_p,low_p CV2 sim-61,61,335,0.00016166722811509056
low final p-ratio,low_p,low_p CV2 sim-61,61,336,9.57582412541212e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,337,8.449531846313871e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,338,9.041765666292381e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,339,0.0001148420108490557
low final p-ratio,low_p,low_p CV2 sim-61,61,340,0.00011847755532861421
low final p-ratio,low_p,low_p CV2 sim-61,61,341,0.00010280541495636239
low final p-ratio,low_p,low_p CV2 sim-61,61,342,8.418829384027049e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,343,5.692303238902241e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,344,5.626940946967807e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,345,5.126085008149468e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,346,4.823298630591515e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,347,4.556338405693948e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,348,5.292504127802593e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,349,4.6981788208151034e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,350,4.268354574118608e-05
high final p-ratio,high_p,high_p CV2 sim-56,56,1,0.5929879896781024
high final p-ratio,high_p,high_p CV2 sim-56,56,2,0.18978464691077962
high final p-ratio,high_p,high_p CV2 sim-56,56,3,0.0625603507985087
high final p-ratio,high_p,high_p CV2 sim-56,56,4,0.034773116232827306
high final p-ratio,high_p,high_p CV2 sim-56,56,5,0.028739802265430197
high final p-ratio,high_p,high_p CV2 sim-56,56,6,0.02561657766208929
high final p-ratio,high_p,high_p CV2 sim-56,56,7,0.024877336533630594
high final p-ratio,high_p,high_p CV2 sim-56,56,8,0.022465003846103653
high final p-ratio,high_p,high_p CV2 sim-56,56,9,0.021789905834285653
high final p-ratio,high_p,high_p CV2 sim-56,56,10,0.02175329631084905
high final p-ratio,high_p,high_p CV2 sim-56,56,11,0.019438440254067674
high final p-ratio,high_p,high_p CV2 sim-56,56,12,0.018772516399621964
high final p-ratio,high_p,high_p CV2 sim-56,56,13,0.015830442090244853
high final p-ratio,high_p,high_p CV2 sim-56,56,14,0.014908250914338757
high final p-ratio,high_p,high_p CV2 sim-56,56,15,0.01612811641055433
