case,case_short,train_original_sim_idx,original_sim_idx,frames_encoded,final_p_ratio,mean_z0,final_z0,slope_z0,range_z0,mean_z1,final_z1,slope_z1,range_z1
low final p-ratio,low_p,61,57,62,-0.02490996528939263,4.220880013545074,10.662908554077148,12.618585228919983,12.618585228919983,2.0961723462227853,1.862890362739563,-0.45075809955596924,0.45075809955596924
low final p-ratio,low_p,61,58,92,0.15807421313403752,5.095819294169221,12.476302146911621,14.4509117603302,14.4509117603302,2.011171740034352,1.7339518070220947,-0.5385477542877197,0.5385477542877197
low final p-ratio,low_p,61,59,87,-0.0313026174804837,4.5638309152818275,11.34471321105957,13.284728765487671,13.284728765487671,2.06652985085016,1.8147424459457397,-0.4870084524154663,0.4870084524154663
low final p-ratio,low_p,61,60,62,-0.3733590050206568,2.2013055353365356,6.407804012298584,8.167044639587402,8.167044639587402,2.1806057614664875,2.0261313915252686,-0.29709410667419434,0.29709410667419434
low final p-ratio,low_p,61,62,85,-0.4204057219757763,1.8020747962681687,5.5349040031433105,7.318981170654297,7.318981170654297,2.2311285383561077,2.1013476848602295,-0.24894165992736816,0.24894165992736816
low final p-ratio,low_p,61,63,81,-0.06000701508242722,3.7588607615526812,9.699847221374512,11.564171433448792,11.564171433448792,2.0787469016181097,1.8658686876296997,-0.4086548089981079,0.4086548089981079
low final p-ratio,low_p,61,64,63,0.3664375008215793,4.816683604603722,11.883517265319824,13.931963205337524,13.931963205337524,1.9720969237978496,1.7049474716186523,-0.5233280658721924,0.5233280658721924
low final p-ratio,low_p,61,65,80,-0.12283631741223562,3.4433112763334064,9.077216148376465,10.964697122573853,10.964697122573853,2.1175439044833184,1.918784499168396,-0.38017284870147705,0.38017284870147705
low final p-ratio,low_p,61,66,62,-0.5381298285827363,1.4547380270857004,4.745270729064941,6.4443957805633545,6.4443957805633545,2.2093150807965185,2.089864492416382,-0.2308330535888672,0.2308330535888672
low final p-ratio,low_p,61,67,79,0.15301959837093992,5.099159281182138,12.47867488861084,14.503910541534424,14.503910541534424,2.00497401364242,1.7276177406311035,-0.5404503345489502,0.5404503345489502
low final p-ratio,low_p,61,68,87,0.16470512886983094,5.231924269733758,12.706636428833008,14.709598541259766,14.709598541259766,2.0054610296227464,1.7288758754730225,-0.5379090309143066,0.5379090309143066
low final p-ratio,low_p,61,69,61,-0.24695770209211376,2.0802664817845233,6.167762756347656,7.96070671081543,7.96070671081543,2.138708227970561,1.9903392791748047,-0.28383731842041016,0.28383731842041016
low final p-ratio,low_p,61,70,92,-0.1806314739996638,3.3207306562234526,8.89769458770752,10.837231278419495,10.837231278419495,2.1644114813079005,1.9594216346740723,-0.3919851779937744,0.3919851779937744
low final p-ratio,low_p,61,71,91,-0.4991540889734968,1.6420425937644072,5.148716926574707,6.892245292663574,6.892245292663574,2.2121585384830014,2.0963141918182373,-0.2225050926208496,0.2225050926208496
low final p-ratio,low_p,61,72,68,0.20470544269913032,5.199444965404623,12.521743774414062,14.486794114112854,14.486794114112854,1.973018484957078,1.7069079875946045,-0.5209507942199707,0.5209507942199707
low final p-ratio,low_p,61,73,74,-0.4669767574585872,1.258766741970101,4.352197647094727,6.118993520736694,6.118993520736694,2.2305437680837272,2.1248741149902344,-0.2038123607635498,0.2038123607635498
low final p-ratio,low_p,61,74,80,-0.31002572813366264,2.4939351232605986,7.051638603210449,8.887718796730042,8.887718796730042,2.176918885111809,2.007324695587158,-0.3283498287200928,0.3283498287200928
low final p-ratio,low_p,61,75,71,0.34077803793200123,4.970301093454932,12.24345588684082,14.296700239181519,14.296700239181519,1.9761894689479345,1.7019754648208618,-0.5360914468765259,0.5360914468765259
low final p-ratio,low_p,61,76,68,-0.5497968824564992,1.1841866244726322,4.176962852478027,5.934455513954163,5.934455513954163,2.2594696914448456,2.162400007247925,-0.18944621086120605,0.18944621086120605
low final p-ratio,low_p,61,77,60,0.012487869430966034,4.43486561596704,10.990280151367188,12.843632578849792,12.843632578849792,2.014701932668686,1.7757939100265503,-0.4642146825790405,0.4642146825790405
low final p-ratio,low_p,61,78,58,0.0037402536317093908,4.351798102966156,10.9578218460083,12.888241410255432,12.888241410255432,2.0757161276093843,1.8270248174667358,-0.4814647436141968,0.4814647436141968
low final p-ratio,low_p,61,79,81,-0.4733047013994222,0.995757156856542,3.8821616172790527,5.684163212776184,5.684163212776184,2.253913599767803,2.1541240215301514,-0.19095540046691895,0.19095540046691895
