case,case_short,dataset,sim_idx,epoch,train_dz_mse_norm,train_dz_mse_raw
low final p-ratio,low_p,low_p CV2 sim-61,61,169,0.24553285485931806,1.7545932909765076e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,170,0.2462245374917984,1.7529202835930846e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,171,0.25009873722280773,1.7953110886180314e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,172,0.21119844906830362,1.4972295408556744e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,173,0.2819794448358672,2.039008910920919e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,174,0.22893297964973108,1.642953481198869e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,175,0.3009308919842754,2.1848434304924273e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,176,0.25238747814936296,1.8121825807578977e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,177,0.2504742055066994,1.779820536285115e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,178,0.2281692283494132,1.622223892232861e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,179,0.21831913398844854,1.5680819649739014e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,180,0.2071942269269909,1.4831776939315335e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,181,0.22500202458884036,1.621437631017995e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,182,0.25830458836363895,1.8511157823094696e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,183,0.2254795916378498,1.6232872610544291e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,184,0.19909721107355186,1.4204788913372925e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,185,0.26498843995588167,1.8989588619027536e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,186,0.2087280905938574,1.4816131377009306e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,187,0.33165535437209265,2.397516758329792e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,188,0.22046251142663614,1.561130442187927e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,189,0.19747507997921535,1.4129746607035746e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,190,0.16705476918390819,1.1813590136609622e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,191,0.2840765711984464,2.081811560726367e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,192,0.22671998451863015,1.619165826939804e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,193,0.21821962895670108,1.5694319941417234e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,194,0.20113484508224896,1.4236767873805029e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,195,0.266134448615568,1.9358122967462677e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,196,0.23369680850633553,1.6542387381183029e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,197,0.23379807972482272,1.6611722019531174e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,198,0.19190973628844535,1.3578967233180656e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,199,0.2544927622324654,1.8353744256468677e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,200,0.2154847708131586,1.5448340267961872e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,201,0.19910727707403048,1.4233131671354776e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,202,0.252571403714163,1.8178903177710839e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,203,0.20068915507623128,1.4172931465899247e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,204,0.22725509027285234,1.6233544134333248e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,205,0.2553065797047956,1.8355375885903413e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,206,0.21976963856390544,1.5545307608785412e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,207,0.24727416105036223,1.767101716763721e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,208,0.21350041909941606,1.5072370242056162e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,209,0.1940791785184826,1.3713070054726423e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,210,0.22364939084010466,1.6182290128849023e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,211,0.19710799705769336,1.4153426722681876e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,212,0.224499838160617,1.609411764239407e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,213,0.22741666941770486,1.6187397905907477e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,214,0.19537484432969773,1.3625771119661425e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,215,0.24973405684743608,1.742549456602254e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,216,0.2069385160825082,1.4574401084083938e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,217,0.20959152334502765,1.4898949274311235e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,218,0.18523185513913631,1.2982188682794264e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,219,0.17749520524271897,1.2428745636481966e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,220,0.2232879794069699,1.606896258213705e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,221,0.2721340394179736,1.9150913429046213e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,222,0.23111668175884656,1.6273450011031594e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,223,0.1998735192630972,1.3935890206896926e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,224,0.189424014251147,1.3214673089123607e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,225,0.1810422936188323,1.2630806480729007e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,226,0.26568787385310444,1.926260143899786e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,227,0.197857086413673,1.387751566994666e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,228,0.20307595415839128,1.4259944285705778e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,229,0.20613887613373144,1.4674690049787387e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,230,0.17058011809630053,1.1927681811130242e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,231,0.1847105510532856,1.2938330493333133e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,232,0.1795534369136606,1.2642627739621406e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,233,0.2616749999246427,1.8859180629858332e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,234,0.20175988306956633,1.4265639915070745e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,235,0.1969354296369212,1.4126103126597757e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,236,0.24415487676326716,1.782718116365751e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,237,0.19855943388704742,1.3994870461228208e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,238,0.2240714579820633,1.5781340881712173e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,239,0.20940529235771724,1.4577517656480917e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,240,0.21835766227117606,1.5472370468013911e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,241,0.2204039123441492,1.5599760234051376e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,242,0.20051035990140267,1.4066548083795688e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,243,0.1968189137322562,1.3966801505814277e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,244,0.18153115162359817,1.2694067491127368e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,245,0.17685150940503394,1.2409707547281608e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,246,0.19215919822454453,1.3568930573423392e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,247,0.17984667979180813,1.280590657261525e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,248,0.20685740267591818,1.4657051476011214e-06
