dataset,split,sim_idx,target_index,rollout_steps,pred_p_ratio,true_p_ratio,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse,case,case_short,train_original_sim_idx,original_sim_idx
low_p CV2 sim-61,other_trajectories,70,100,100,-0.4793753425528028,-0.47517426796613293,0.0002899966202676296,0.0005254264106042683,0.0011823074892163277,2.2501866395650176,low final p-ratio,low_p,61,71
low_p CV2 sim-61,other_trajectories,71,100,100,-0.4834149423471805,0.20573712927448545,0.0005154439131729305,0.00042902326094917953,0.0010696190875023603,2.4931494043840745,low final p-ratio,low_p,61,72
low_p CV2 sim-61,other_trajectories,72,100,100,-0.5830583159295895,-0.45121595887488686,0.0002521286078263074,0.0005884523852728307,0.0009288527071475983,1.5784670610468237,low final p-ratio,low_p,61,73
low_p CV2 sim-61,other_trajectories,73,100,100,-0.4653214539291358,-0.29795012828649386,0.000305273977573961,0.0004419228353071958,0.0009965961799025536,2.255136191841694,low final p-ratio,low_p,61,74
low_p CV2 sim-61,other_trajectories,74,100,100,-0.4513149291522404,0.3405242833803654,0.0005656960420310497,0.0004600612446665764,0.001001552795059979,2.176998838026102,low final p-ratio,low_p,61,75
low_p CV2 sim-61,other_trajectories,75,100,100,-0.5221223496801919,-0.5415579495552603,0.0002114762319251895,0.0006104385829530656,0.0008424296975135803,1.3800400581467696,low final p-ratio,low_p,61,76
low_p CV2 sim-61,other_trajectories,76,100,100,-0.5907625017636506,0.01466837398627898,0.0003855596005450934,0.0004473643493838608,0.0008639410953037441,1.9311800247239632,low final p-ratio,low_p,61,77
low_p CV2 sim-61,other_trajectories,77,100,100,-0.509191573119451,0.0050641005806697816,0.00026559142861515284,0.0004938275669701397,0.0007430091500282288,1.5045922903553828,low final p-ratio,low_p,61,78
low_p CV2 sim-61,other_trajectories,78,100,100,-0.49711187699530107,-0.45929450263189053,0.000245522620389238,0.0005126834730617702,0.000992520246654749,1.935931815253124,low final p-ratio,low_p,61,79
low_p CV2 sim-61,other_trajectories,79,100,100,-0.47759092181477575,0.3577228031757618,0.0006432617665268481,0.0004907718393951654,0.00109586282633245,2.2329374637367287,low final p-ratio,low_p,61,80
low_p CV2 sim-61,other_trajectories,80,100,100,-0.5380263586661357,-0.32281483960466584,0.000251072458922863,0.0005207169451750815,0.0009825484594330192,1.8869147020031303,low final p-ratio,low_p,61,81
low_p CV2 sim-61,other_trajectories,81,100,100,-0.44035107606108204,-0.2596834918001404,0.0003004104073625058,0.00047551243915222585,0.0011195935076102614,2.3544988846271715,low final p-ratio,low_p,61,82
low_p CV2 sim-61,other_trajectories,82,100,100,-0.4732378670025052,-0.33294838997006765,0.00023558105749543756,0.0005310236592777073,0.0009198854677379131,1.7322871620995786,low final p-ratio,low_p,61,83
low_p CV2 sim-61,other_trajectories,83,100,100,-0.4322244337759435,0.34409004225404777,0.0006717686774209142,0.0004689846246037632,0.001252923160791397,2.671565537676144,low final p-ratio,low_p,61,84
low_p CV2 sim-61,other_trajectories,84,100,100,-0.47810663280667076,0.08325962308917031,0.0003643717791419476,0.00048509647604078054,0.0009680311777628958,1.995543619825258,low final p-ratio,low_p,61,85
low_p CV2 sim-61,other_trajectories,85,100,100,-0.44256858371646984,0.13491770570898257,0.0004819012829102576,0.00041922915261238813,0.0011495247017592192,2.74199610069114,low final p-ratio,low_p,61,86
low_p CV2 sim-61,other_trajectories,86,100,100,-0.5365675603928856,-0.06531983290275303,0.00028770649805665016,0.0005516375531442463,0.000716357200872153,1.2986012224675982,low final p-ratio,low_p,61,87
low_p CV2 sim-61,other_trajectories,87,100,100,-0.4962022322687455,-0.39197879338275,0.0002308946568518877,0.0004940630169585347,0.0009248648420907557,1.8719572409694794,low final p-ratio,low_p,61,88
low_p CV2 sim-61,other_trajectories,88,100,100,-0.49471067740153657,-0.28168878424657534,0.000252657599048689,0.0005265119252726436,0.0010913400910794735,2.0727737372982484,low final p-ratio,low_p,61,89
low_p CV2 sim-61,other_trajectories,89,100,100,-0.4656011340197976,-0.10775471476849927,0.00038199048140086234,0.00042102092993445694,0.0011598714627325535,2.754902144444739,low final p-ratio,low_p,61,90
low_p CV2 sim-61,other_trajectories,90,100,100,-0.48718804593316367,0.1896931790615013,0.0004851881822105497,0.0004584511334542185,0.00103797169867903,2.2640836131397264,low final p-ratio,low_p,61,91
low_p CV2 sim-61,other_trajectories,91,100,100,-0.4723386325847329,-0.4717004475428178,0.00022783968597650528,0.0004989119479432702,0.0009479462169110775,1.900027090589672,low final p-ratio,low_p,61,92
low_p CV2 sim-61,other_trajectories,92,100,100,-0.4616038056405029,-0.3973008230603595,0.00021458009723573923,0.0006371063063852489,0.0009292369359172881,1.4585272922340091,low final p-ratio,low_p,61,93
low_p CV2 sim-61,other_trajectories,93,100,100,-0.5127877127323959,-0.3646924195419495,0.00022259408433455974,0.0005479835090227425,0.0009865311440080404,1.8002934901588383,low final p-ratio,low_p,61,94
