latent_dim,repeat,seed,train_networks,train_frames_per_network,epoch,train_mse_norm,val_mse_norm
1,1,1588903626,1,4,46,0.1896483451128006,1.2735629265124981
1,1,1588903626,1,4,47,0.19654831290245056,1.2526287940832286
1,1,1588903626,1,4,48,0.1852187216281891,1.2870866748002858
1,1,1588903626,1,4,49,0.19338566064834595,1.3102915011919463
1,1,1588903626,1,4,50,0.1783987283706665,1.341919325865232
1,1,1588903626,1,4,51,0.20300830900669098,1.295495445911701
1,1,1588903626,1,4,52,0.19097644090652466,1.2389509952985323
1,1,1588903626,1,4,53,0.1726686954498291,1.2665659739420965
2,1,1588911242,1,1,1,0.0046972171403467655,2189298.576923077
2,1,1588911242,1,1,2,0.0014477502554655075,2189695.9423076925
2,1,1588911242,1,1,3,9.733022307045758e-05,2189789.9326923075
2,1,1588911242,1,1,4,0.0006819571717642248,2189646.4134615385
2,1,1588911242,1,1,5,0.0008875572239048779,2189199.6346153845
2,1,1588911242,1,1,6,0.0004363165353424847,2188900.7403846155
2,1,1588911242,1,1,7,9.814410441322252e-05,2188885.605769231
2,1,1588911242,1,1,8,5.3884661610936746e-05,2188889.730769231
2,1,1588911242,1,1,9,0.0001710319920675829,2188836.519230769
2,1,1588911242,1,1,10,0.0002718075702432543,2188649.346153846
2,1,1588911242,1,1,11,0.0002750730200204998,2188320.4326923075
2,1,1588911242,1,1,12,0.00019593762408476323,2187914.1826923075
2,1,1588911242,1,1,13,9.211595897795632e-05,2187517.951923077
2,1,1588911242,1,1,14,2.482515265000984e-05,2187243.548076923
2,1,1588911242,1,1,15,3.086807919316925e-05,2187073.3846153845
2,1,1588911242,1,1,16,8.583942690165713e-05,2187033.1634615385
2,1,1588911242,1,1,17,0.00011245186760788783,2187110.519230769
2,1,1588911242,1,1,18,8.481945405947044e-05,2187207.3653846155
2,1,1588911242,1,1,19,3.969395038438961e-05,2187372.8076923075
2,1,1588911242,1,1,20,1.391017394780647e-05,2187577.596153846
2,1,1588911242,1,1,21,1.5256450751621742e-05,2187835.375
2,1,1588911242,1,1,22,3.108615055680275e-05,2188115.076923077
2,1,1588911242,1,1,23,4.495401663007215e-05,2188370.980769231
2,1,1588911242,1,1,24,4.709584027295932e-05,2188577.951923077
2,1,1588911242,1,1,25,3.70441994164139e-05,2188737.6346153845
2,1,1588911242,1,1,26,2.120019416906871e-05,2188870.6923076925
2,1,1588911242,1,1,27,8.216541573347058e-06,2188982.105769231
2,1,1588911242,1,1,28,4.142702437093249e-06,2189058.778846154
2,1,1588911242,1,1,29,9.180316737911198e-06,2189116.3365384615
2,1,1588911242,1,1,30,1.7894113625516184e-05,2189161.4134615385
2,1,1588911242,1,1,31,2.3223346943268552e-05,2189199.1826923075
2,1,1588911242,1,1,32,2.150451655325014e-05,2189230.7403846155
2,1,1588911242,1,1,33,1.4415983969229273e-05,2189262.326923077
2,1,1588911242,1,1,34,6.755462891305797e-06,2189290.7115384615
2,1,1588911242,1,1,35,2.6457673811819404e-06,2189307.278846154
2,1,1588911242,1,1,36,3.180498424626421e-06,2189313.1153846155
2,1,1588911242,1,1,37,6.535690772579983e-06,2189313.826923077
2,1,1588911242,1,1,38,9.728593795443885e-06,2189308.278846154
2,1,1588911242,1,1,39,1.0573863619356416e-05,2189301.528846154
2,1,1588911242,1,1,40,8.731378329684958e-06,2189296.0384615385
2,1,1588911242,1,1,41,5.504642103915103e-06,2189290.971153846
2,1,1588911343,1,2,1,0.994780957698822,45.5138483781081
2,1,1588911343,1,2,2,0.9711753129959106,45.38350750849797
2,1,1588911343,1,2,3,0.9469670057296753,45.23010283250075
2,1,1588911343,1,2,4,0.919552206993103,45.029909720787636
2,1,1588911343,1,2,5,0.8867324590682983,44.734434421245865
2,1,1588911343,1,2,6,0.8460851907730103,44.23825843517597
2,1,1588911343,1,2,7,0.7943220138549805,43.38979090177096
2,1,1588911343,1,2,8,0.729386568069458,42.14230596102201
2,1,1588911343,1,2,9,0.6695101857185364,41.05550575256348
2,1,1588911343,1,2,10,0.6920332312583923,40.8388918363131
2,1,1588911343,1,2,11,0.6600424647331238,40.793106665978065
2,1,1588911343,1,2,12,0.5987972021102905,40.78111934661865
2,1,1588911343,1,2,13,0.5720040202140808,40.670550713172325
2,1,1588911343,1,2,14,0.552916944026947,40.901429176330566
2,1,1588911343,1,2,15,0.5364110469818115,41.70189564044659
2,1,1588911343,1,2,16,0.5309787392616272,41.534752699045036
2,1,1588911343,1,2,17,0.5078592896461487,41.60333061218262
2,1,1588911343,1,2,18,0.49508410692214966,42.85311684241662
2,1,1588911343,1,2,19,0.4779982566833496,44.9014474428617
2,1,1588911343,1,2,20,0.46472808718681335,44.255332506619965
2,1,1588911343,1,2,21,0.4344984292984009,44.03687623830942
2,1,1588911343,1,2,22,0.41686564683914185,46.28074895418607
2,1,1588911343,1,2,23,0.40016427636146545,49.25904068580041
2,1,1588911343,1,2,24,0.3942623436450958,49.17848499004658
2,1,1588911343,1,2,25,0.383718878030777,50.55049925584059
