split,sim_idx,final_p_ratio,mean_frame_p_ratio,frames,mean_z0,final_z0,slope_z0,range_z0,mean_z1,final_z1,slope_z1,range_z1,mean_z0_aligned,final_z0_aligned,slope_z0_aligned,range_z0_aligned,mean_z1_aligned,final_z1_aligned,slope_z1_aligned,range_z1_aligned
test,69,-0.24695770209211376,-0.21607532230035345,121,0.7491835438346198,1.4726386070251465,1.47268779668957,1.47268779668957,0.6599949926738281,1.3360868692398071,1.3764349594712257,1.3764349594712257,1.221033372783699,2.422552225977349,2.437615876145939,2.437615876145939,0.5077539554060616,3.2960600539591045,5.642969471486362,5.642969471486362
test,70,-0.1806314739996638,-0.15306630621655967,183,1.0322317238388166,2.0197536945343018,2.0002216398715973,2.0002216398715973,0.9150457738343972,1.8387949466705322,1.8709450587630272,1.8709450587630272,2.174804347969586,3.7700109655253304,3.2364513610734216,3.2364513610734216,3.5368962426262,7.163126613407385,7.366421356794028,7.366421356794028
test,71,-0.4991540889734968,-0.4357748004710792,180,0.6419255652102746,1.2533748149871826,1.2620911467820406,1.2620911467820406,0.5539699785307878,1.1250147819519043,1.1794779226183891,1.1794779226183891,1.338673890743849,2.373284510815386,2.095403878004658,2.095403878004658,1.2796070200306875,3.7128109446060975,4.861545634460946,4.861545634460946
test,72,0.20470544269913032,0.2083471848798589,134,1.5053039865651683,2.9435110092163086,2.8823802806437016,2.8823802806437016,1.3589171243053098,2.702263593673706,2.6923005264252424,2.6923005264252424,2.8700415932833385,5.294592020952686,4.857377204642945,4.857377204642945,4.99775736138683,10.684954342080736,11.39084727572755,11.39084727572755
test,73,-0.4669767574585872,-0.4069434114373807,147,0.5665209551094746,1.098671317100525,1.110955074429512,1.110955074429512,0.4887887696247725,0.9872664213180542,1.0410787910223007,1.0410787910223007,0.9433246758910909,1.767542738041401,1.6991726867412034,1.6991726867412034,-0.09343575621174582,1.7187988396480396,3.697099453113127,3.697099453113127
test,74,-0.31002572813366264,-0.2670819998532097,159,0.8708156763616973,1.666597604751587,1.6287809237837791,1.6287809237837791,0.7716669576043416,1.5149322748184204,1.5215476024895906,1.5215476024895906,1.525080367172498,2.868093518698766,2.7357568503851954,2.7357568503851954,1.3854394705429731,4.538152507762764,6.400459705022358,6.400459705022358
test,75,0.34077803793200123,0.3398729301625456,141,1.4771689208528251,2.895554304122925,2.8421900384128094,2.8421900384128094,1.3247595153854672,2.648606061935425,2.6529269125312567,2.6529269125312567,3.2251318806490485,5.666627098897207,4.883338949282449,4.883338949282449,6.499497343588336,12.310118380180075,11.607458761045192,11.607458761045192
test,76,-0.5497968824564992,-0.49856568014285163,134,0.5833869762440671,1.1145368814468384,1.0986713953316212,1.0986713953316212,0.5123762974042946,1.0088366270065308,1.0274921786040068,1.0274921786040068,0.5715010198955438,1.449358255767982,1.78643017451247,1.78643017451247,-1.6306646730887038,0.39931719264963306,4.081168641939605,4.081168641939605
test,77,0.012487869430966034,0.02578018718229534,119,1.2776937178891747,2.5170905590057373,2.497136674821377,2.497136674821377,1.1392502429887277,2.2973785400390625,2.333273157477379,2.333273157477379,2.847517567611375,4.912438312139701,4.166720293504495,4.166720293504495,5.545055820769712,10.348017171223958,9.702324389586053,9.702324389586053
test,78,0.0037402536317093908,0.014737082568343994,115,1.2721279557632363,2.495776653289795,2.4583320133388042,2.4583320133388042,1.1366126282383566,2.2799439430236816,2.2968990206718445,2.2968990206718445,2.707284382403811,4.75012967918034,4.107890407067698,4.107890407067698,4.998698390050845,9.757310200931531,9.575274548117852,9.575274548117852
