dataset,split,sim_idx,target_index,rollout_steps,pred_p_ratio,true_p_ratio,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse
one-system CV2 train-sim-0,test,21,20,20,-0.46025180246306485,-0.26753948680274964,0.00015811914636287838,1.9414426787989214e-05,0.0002787663834169507,14.35872335872467
one-system CV2 train-sim-0,test,22,20,20,-0.4750259597586119,0.18737026983873542,0.0001710626092972234,1.7377831682097167e-05,0.000260463246377185,14.988247736656184
one-system CV2 train-sim-0,test,23,20,20,-0.46210231935558405,-0.06583773378768566,0.0001331375679001212,1.8716551494435407e-05,0.00023355595476459712,12.478578376686288
one-system CV2 train-sim-0,test,24,20,20,-0.46352039334869044,0.3415171461938635,0.00010304962779628113,1.9494460502755828e-05,0.00016494478040840477,8.461110292592473
one-system CV2 train-sim-0,test,25,20,20,-0.4855057251908397,-0.23853506605090752,7.890919368946925e-05,1.9977671399828978e-05,0.00016454426804557443,8.236408776199164
one-system CV2 train-sim-0,test,26,20,20,-0.4848588350217571,-0.2920890347510785,0.00018931184604298323,1.8978416846948676e-05,0.0003181337960995734,16.76292594188237
one-system CV2 train-sim-0,test,27,20,20,-0.4594138857732176,0.3592406209228639,0.00017863849643617868,1.8757009456749074e-05,0.00025805694167502224,13.757893670100444
one-system CV2 train-sim-0,test,28,20,20,-0.4540834484034905,-0.3226098535286285,0.00016505552048329264,1.92392853932688e-05,0.0002876706712413579,14.952253441908217
one-system CV2 train-sim-0,test,29,20,20,-0.44623073217726394,-0.01972935038796642,0.00016068885452114046,1.624518699827604e-05,0.0002600900479592383,16.01028341420997
one-system CV2 train-sim-0,test,30,20,20,-0.4619453263625919,0.20744117023531905,0.000221632668399252,1.7661326637608e-05,0.00032352664857171476,18.318366179967345
one-system CV2 train-sim-0,test,31,20,20,-0.4427331138264099,0.051835132986226884,0.00011237860599067062,1.858309769886546e-05,0.00020133666112087667,10.834397170132123
one-system CV2 train-sim-0,test,32,20,20,-0.4777637816475475,-0.029593581480994346,8.391189476242289e-05,1.794587296899408e-05,0.00016231801419053227,9.04486588481801
one-system CV2 train-sim-0,test,33,20,20,-0.44769082915238334,0.3488632128214685,0.0001752408716129139,1.8438575352774933e-05,0.00025577624910511076,13.87180105900196
one-system CV2 train-sim-0,test,34,20,20,-0.44311987019775834,0.2128294920867606,0.00021520256996154785,1.6719781342544593e-05,0.00031517192837782204,18.850242232286025
one-system CV2 train-sim-0,test,35,20,20,-0.4576874023244535,0.40517194838848997,0.0001188251335406676,1.9074381270911545e-05,0.00017863574612420052,9.365218383079101
one-system CV2 train-sim-0,test,36,20,20,-0.4431578341455927,0.0005558496559025939,8.387982961721718e-05,1.642723145778291e-05,0.00015662975783925503,9.534762947839688
one-system CV2 train-sim-0,test,37,20,20,-0.4600889098705693,0.16770923209663502,0.00023139402037486434,1.6948180928011425e-05,0.0003373247745912522,19.903302662631617
one-system CV2 train-sim-0,test,38,20,20,-0.45024291412827827,0.0042641134306492965,0.0001877706527011469,1.762400643201545e-05,0.000299817300401628,17.01186966528708
