split,sim_idx,final_p_ratio,edge_count,stiffness_mean,stiffness_std,near_zero_stiffness_threshold,near_zero_stiffness_edge_count,near_zero_stiffness_edge_fraction,horizontal_stiffness,vertical_stiffness,diagonal_stiffness,z0,latent_dim,repeat,seed,train_networks,train_frames_per_network,z1
val,22,-0.03371838000065961,423,0.5681737333153051,0.30426587350044115,0.001,0,0.0,0.5766395056252457,0.7624373598805358,0.2849305948443912,-0.1264857053756714,1,1,414963348,1,1,
val,23,0.19502236139423487,353,0.43698613738203185,0.18447588996608838,0.001,0,0.0,0.39930842900231706,0.5771188939357326,0.264432787077456,-0.09694825857877731,1,1,414963348,1,1,
val,24,0.2238599590476573,291,0.4984668247990592,0.1739724142469135,0.001,0,0.0,0.419778968733136,0.6662395521302089,0.3779341939343027,-0.10731201618909836,1,1,414963348,1,1,
val,0,-0.12771201037928526,404,0.6123778805134376,0.36631022913037825,0.001,0,0.0,0.6455671450104055,0.793998375311749,0.3323580157178055,0.2700459957122803,1,1,414963449,1,2,
val,1,-0.40037890147830096,399,0.6259968690482263,0.3957710545903588,0.001,5,0.012531328320802004,0.6561824554215839,0.7964022309258765,0.3457410062242204,0.2422465682029724,1,1,414963449,1,2,
val,2,0.2817123526652541,533,0.46810810600615355,0.09242143349568512,0.001,0,0.0,0.43282859134919865,0.5400908574682152,0.4109884537756443,0.3569478392601013,1,1,414963449,1,2,
val,3,0.12699982791696676,483,0.5395431320798076,0.23836956649983057,0.001,0,0.0,0.526340630700749,0.695248446194455,0.29577875097768497,0.300211101770401,1,1,414963449,1,2,
val,4,0.1677718678598186,342,0.5745579226715871,0.25003278248868754,0.001,0,0.0,0.5167142301229121,0.7700938130499887,0.39166067657845743,0.32175081968307495,1,1,414963449,1,2,
val,5,0.30795067109622015,534,0.46750041909432144,0.092203557818838,0.001,0,0.0,0.4298860405385494,0.5404920328349967,0.42261564627393977,0.32926830649375916,1,1,414963449,1,2,
val,6,0.20114686937290777,516,0.5317542366683483,0.1887768154942313,0.001,0,0.0,0.493921952824744,0.6902300858968182,0.3641621950116471,0.3039703369140625,1,1,414963449,1,2,
val,7,0.19502236139423487,353,0.43698613738203185,0.18447588996608838,0.001,0,0.0,0.39930842900231706,0.5771188939357326,0.264432787077456,0.41336849331855774,1,1,414963449,1,2,
val,8,0.14421983542156405,483,0.5450897914112601,0.23518408363618143,0.001,0,0.0,0.5192535562356088,0.7227328437070052,0.32911678336150063,0.307370126247406,1,1,414963449,1,2,
val,9,-0.14664002278276062,401,0.5844182071375876,0.35628001933272163,0.001,0,0.0,0.6360989300081054,0.7658017562739801,0.25100574746298104,0.278423935174942,1,1,414963449,1,2,
val,10,-0.1623723264424866,403,0.6319914920456741,0.4023949243727821,0.001,29,0.07196029776674938,0.6508658423308767,0.7851872470439164,0.40732748242743405,0.2418711930513382,1,1,414963449,1,2,
val,11,0.3524800528535854,285,0.43137236310724625,0.059696831913206065,0.001,0,0.0,0.43248240636513297,0.4377205831663949,0.4195514975199059,0.38938114047050476,1,1,414963449,1,2,
val,12,0.24274224639077988,458,0.4976987735933612,0.1537250595705083,0.001,0,0.0,0.445881215134108,0.6279118552028788,0.37660568872732775,0.3439813554286957,1,1,414963449,1,2,
val,13,-0.17404791264035285,310,0.626433868679587,0.3918843877705018,0.001,10,0.03225806451612903,0.6722922208977156,0.8205156922330358,0.28451429666911054,0.301611989736557,1,1,414963449,1,2,
val,14,-0.45901086920611844,310,0.6305376953596117,0.3875589167438343,0.001,17,0.054838709677419356,0.6925751012016151,0.8129530524592125,0.27763212424033556,0.31956079602241516,1,1,414963449,1,2,
val,15,0.1606833051492441,629,0.5476103538798319,0.21461966360087026,0.001,0,0.0,0.4984474082259422,0.7156503287558796,0.365301239829606,0.27675768733024597,1,1,414963449,1,2,
val,16,0.27772893013013333,286,0.47832161542418955,0.10392523491962888,0.001,0,0.0,0.43789249951285975,0.5664869098380061,0.4183677283868398,0.34322237968444824,1,1,414963449,1,2,
val,17,-0.06695112756186168,341,0.6027496100083823,0.34271446878207024,0.001,0,0.0,0.6189028571767747,0.8076319062214998,0.279220130106204,0.2623956799507141,1,1,414963449,1,2,
val,18,0.33742504039823745,364,0.43281665722747426,0.06075450344497515,0.001,0,0.0,0.43352741518415006,0.4315517992901623,0.4335686500583376,0.43307146430015564,1,1,414963449,1,2,
