repeat,train_networks,train_frames_per_network,split,signal,target,pearson_r,corr_r2,n
3,1,1,test,z0,horizontal_stiffness,0.8616979083221901,0.7425232852068375,76
3,1,1,test,z0,vertical_stiffness,0.8989462714249938,0.8081043989088987,76
3,1,1,test,z0,diagonal_stiffness,-0.3755185378096729,0.14101417223871476,76
3,1,2,test,z0,final_p_ratio,-0.6784128118075207,0.46024394322458645,76
3,1,2,test,z0,stiffness_mean,0.7842025941163449,0.6149737086188047,76
3,1,2,test,z0,stiffness_std,0.7538872760622223,0.5683460250085174,76
3,1,2,test,z0,horizontal_stiffness,0.7473939527148578,0.558597720554739,76
3,1,2,test,z0,vertical_stiffness,0.7730275593570785,0.5975716075255615,76
3,1,2,test,z0,diagonal_stiffness,-0.28792884581479894,0.08290302025224226,76
3,1,4,test,z0,final_p_ratio,-0.8532685799693355,0.7280672695628863,76
3,1,4,test,z0,stiffness_mean,0.9784496805421449,0.9573637773530254,76
3,1,4,test,z0,stiffness_std,0.9303507629338291,0.865552542091558,76
3,1,4,test,z0,horizontal_stiffness,0.9246128476979594,0.8549089181281299,76
3,1,4,test,z0,vertical_stiffness,0.9309365014288563,0.866642769692599,76
3,1,4,test,z0,diagonal_stiffness,-0.36361429416068347,0.13221535491797204,76
3,2,1,test,z0,final_p_ratio,-0.7123585954394406,0.5074547684964525,75
3,2,1,test,z0,stiffness_mean,0.7693396285120851,0.5918834639991132,75
3,2,1,test,z0,stiffness_std,0.7315270377070296,0.5351318068964219,75
3,2,1,test,z0,horizontal_stiffness,0.7163541836509343,0.5131633164341964,75
3,2,1,test,z0,vertical_stiffness,0.7147620955805445,0.5108848532786914,75
3,2,1,test,z0,diagonal_stiffness,-0.23999707675042575,0.05759859684874975,75
3,2,2,test,z0,final_p_ratio,-0.871828585994838,0.7600850833577587,75
3,2,2,test,z0,stiffness_mean,0.9923059912918771,0.9846711803537549,75
3,2,2,test,z0,stiffness_std,0.94799554972711,0.8986955623024054,75
3,2,2,test,z0,horizontal_stiffness,0.9453120063192537,0.8936147892913328,75
3,2,2,test,z0,vertical_stiffness,0.9403002626400512,0.8841645839209492,75
3,2,2,test,z0,diagonal_stiffness,-0.3316351437058484,0.10998186854079872,75
3,2,4,test,z0,final_p_ratio,-0.8454583254161465,0.7147997800154747,75
3,2,4,test,z0,stiffness_mean,0.9721305596341433,0.9450378249745927,75
3,2,4,test,z0,stiffness_std,0.9144606066249004,0.8362382010687808,75
3,2,4,test,z0,horizontal_stiffness,0.912887027633439,0.8333627252214152,75
3,2,4,test,z0,vertical_stiffness,0.9313088519904709,0.8673361777958087,75
3,2,4,test,z0,diagonal_stiffness,-0.4625021724098001,0.21390825948378447,75
3,4,1,test,z0,final_p_ratio,-0.8696537837894655,0.7562977036593344,73
3,4,1,test,z0,stiffness_mean,0.9847985663910319,0.9698282163658317,73
3,4,1,test,z0,stiffness_std,0.9471787329899316,0.8971475522284121,73
3,4,1,test,z0,horizontal_stiffness,0.9364491732512451,0.8769370540829404,73
3,4,1,test,z0,vertical_stiffness,0.9303255653209361,0.8655056574897194,73
3,4,1,test,z0,diagonal_stiffness,-0.31266042744931893,0.09775654289279083,73
3,4,2,test,z0,final_p_ratio,-0.8454635989500068,0.7148086971494979,73
3,4,2,test,z0,stiffness_mean,0.9754966475387425,0.9515937093593257,73
3,4,2,test,z0,stiffness_std,0.921250615139737,0.8487026958953439,73
3,4,2,test,z0,horizontal_stiffness,0.9266771037528854,0.8587304546198359,73
3,4,2,test,z0,vertical_stiffness,0.9251331274161363,0.8558713034427611,73
3,4,2,test,z0,diagonal_stiffness,-0.3170679661030999,0.10053209512875651,73
3,4,4,test,z0,final_p_ratio,-0.9136245261639894,0.834709774808374,73
3,4,4,test,z0,stiffness_mean,0.9890250362210771,0.9781705222721028,73
3,4,4,test,z0,stiffness_std,0.9516341714116837,0.9056075961984018,73
3,4,4,test,z0,horizontal_stiffness,0.9561440088424028,0.9142113656452209,73
3,4,4,test,z0,vertical_stiffness,0.9255531771813997,0.8566486837905836,73
3,4,4,test,z0,diagonal_stiffness,-0.3290542342094652,0.1082766890511776,73
1,1,1,val,stiffness_mean,final_p_ratio,-0.8050426406510669,0.6480936532664429,25
1,1,1,val,stiffness_std,final_p_ratio,-0.9075449772339467,0.8236378857025648,25
1,1,1,val,horizontal_stiffness,final_p_ratio,-0.8941300324657622,0.7994685149572249,25
1,1,1,val,vertical_stiffness,final_p_ratio,-0.7192688407628174,0.5173476652922872,25
1,1,1,val,diagonal_stiffness,final_p_ratio,0.5887043363588313,0.34657279564769206,25
1,1,2,val,stiffness_mean,final_p_ratio,-0.8736683186447085,0.7632963310034719,25
1,1,2,val,stiffness_std,final_p_ratio,-0.9421004118102927,0.887553185933123,25
1,1,2,val,horizontal_stiffness,final_p_ratio,-0.9239625896672969,0.8537068671046978,25
1,1,2,val,vertical_stiffness,final_p_ratio,-0.854142993291804,0.7295602529894827,25
1,1,2,val,diagonal_stiffness,final_p_ratio,0.5003744824492321,0.25037462268633687,25
1,1,4,val,stiffness_mean,final_p_ratio,-0.8592402480157985,0.7382938038102509,25
1,1,4,val,stiffness_std,final_p_ratio,-0.9463502162808742,0.8955787318548575,25
1,1,4,val,horizontal_stiffness,final_p_ratio,-0.8940970889049974,0.7994096043883908,25
1,1,4,val,vertical_stiffness,final_p_ratio,-0.8473809909819509,0.7180545438775531,25
1,1,4,val,diagonal_stiffness,final_p_ratio,0.32315228456146355,0.10442739901729312,25
1,2,1,val,stiffness_mean,final_p_ratio,-0.8960761477209039,0.8029524625143353,25
1,2,1,val,stiffness_std,final_p_ratio,-0.911472466668402,0.8307820574945811,25
1,2,1,val,horizontal_stiffness,final_p_ratio,-0.9330242439553907,0.8705342398085285,25
1,2,1,val,vertical_stiffness,final_p_ratio,-0.8231492179803029,0.6775746350615843,25
1,2,1,val,diagonal_stiffness,final_p_ratio,0.48555700092110105,0.23576560114349412,25
1,2,2,val,stiffness_mean,final_p_ratio,-0.9168076091864595,0.8405361922621919,25
1,2,2,val,stiffness_std,final_p_ratio,-0.9647150312606894,0.9306750915403128,25
