latent_dim,repeat,train_networks,train_frames_per_network,split,signal,target,pearson_r,corr_r2,n
1,2,2,2,val,z0,final_p_ratio,0.9300579286083891,0.8650077505673274,25
1,2,2,2,val,z0,stiffness_mean,-0.9906525292358636,0.9813924336814135,25
1,2,2,2,val,z0,stiffness_std,-0.9500861564241398,0.9026637046287951,25
1,2,2,2,val,z0,near_zero_stiffness_edge_count,-0.4928428580948771,0.24289408277512717,25
1,2,2,2,val,z0,near_zero_stiffness_edge_fraction,-0.5246396775070634,0.2752467912147155,25
1,2,2,2,val,z0,horizontal_stiffness,-0.9479487006534342,0.8986067390705341,25
1,2,2,2,val,z0,vertical_stiffness,-0.9251451392097433,0.8558935286034153,25
1,2,2,2,val,z0,diagonal_stiffness,0.46992094279267344,0.22082569247515507,25
1,2,2,2,val,z1,final_p_ratio,,,0
1,2,2,2,val,z1,stiffness_mean,,,0
1,2,2,2,val,z1,stiffness_std,,,0
1,2,2,2,val,z1,near_zero_stiffness_edge_count,,,0
1,2,2,2,val,z1,near_zero_stiffness_edge_fraction,,,0
1,2,2,2,val,z1,horizontal_stiffness,,,0
1,2,2,2,val,z1,vertical_stiffness,,,0
1,2,2,2,val,z1,diagonal_stiffness,,,0
1,2,2,4,val,z0,final_p_ratio,-0.8618784307569242,0.7428344294040181,25
1,2,2,4,val,z0,stiffness_mean,0.9763492100550778,0.9532577799751745,25
1,2,2,4,val,z0,stiffness_std,0.9275815676524685,0.8604075646486109,25
1,2,2,4,val,z0,near_zero_stiffness_edge_count,0.5436572380480119,0.2955631924819927,25
1,2,2,4,val,z0,near_zero_stiffness_edge_fraction,0.5465834842811733,0.2987535052889476,25
1,2,2,4,val,z0,horizontal_stiffness,0.9350720678386796,0.8743597720521041,25
1,2,2,4,val,z0,vertical_stiffness,0.9201326751344523,0.8466441398500836,25
1,2,2,4,val,z0,diagonal_stiffness,-0.1652088077766406,0.027293950166978984,25
1,2,2,4,val,z1,final_p_ratio,,,0
1,2,2,4,val,z1,stiffness_mean,,,0
1,2,2,4,val,z1,stiffness_std,,,0
1,2,2,4,val,z1,near_zero_stiffness_edge_count,,,0
1,2,2,4,val,z1,near_zero_stiffness_edge_fraction,,,0
1,2,2,4,val,z1,horizontal_stiffness,,,0
1,2,2,4,val,z1,vertical_stiffness,,,0
1,2,2,4,val,z1,diagonal_stiffness,,,0
1,2,4,1,val,z0,final_p_ratio,0.217204250662013,0.04717768650564657,25
1,2,4,1,val,z0,stiffness_mean,-0.08709239990369061,0.007585086120984368,25
1,2,4,1,val,z0,stiffness_std,-0.11348961763350207,0.012879893310598503,25
1,2,4,1,val,z0,near_zero_stiffness_edge_count,-0.18416872838411988,0.03391812051462372,25
1,2,4,1,val,z0,near_zero_stiffness_edge_fraction,-0.153825788815887,0.023662373304829863,25
1,2,4,1,val,z0,horizontal_stiffness,-0.14786993189107903,0.02186551675747235,25
1,2,4,1,val,z0,vertical_stiffness,-0.13976419366566847,0.019534029831014484,25
1,2,4,1,val,z0,diagonal_stiffness,0.1367244573347378,0.018693577233478535,25
1,2,4,1,val,z1,final_p_ratio,,,0
1,2,4,1,val,z1,stiffness_mean,,,0
1,2,4,1,val,z1,stiffness_std,,,0
1,2,4,1,val,z1,near_zero_stiffness_edge_count,,,0
1,2,4,1,val,z1,near_zero_stiffness_edge_fraction,,,0
1,2,4,1,val,z1,horizontal_stiffness,,,0
