dataset,split,rollout_steps,used,p_ratio_r2,p_ratio_pearson,p_ratio_mse,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse
Reid_ld16_tok32_h128_head2,val,80,20,0.44618967098534745,0.7215049770724671,0.07302775412596528,7.623962324032618e-05,0.0003589820029446855,0.0002712490750127472,0.7683388747625173
Reid_ld16_tok32_h128_head2,test,80,38,0.6276325060687016,0.7963555798770845,0.05138878856695358,5.141111157507495e-05,0.0003402265796658436,0.0002556437791913356,0.7716492051665753
Reid_ld16_tok32_h128_head2,val,90,20,0.4488661942860013,0.7243895462762663,0.07534389605790273,0.00010218412403446564,0.00046249211591202765,0.00035300380695844067,0.7784285414280353
Reid_ld16_tok32_h128_head2,test,90,38,0.6297905810744602,0.7980652856833396,0.05244508586146449,6.790757962143719e-05,0.00043563711867471665,0.00033229598499785523,0.7847815450411887
Reid_ld16_tok32_h128_head2,val,100,20,0.45232198290817927,0.7269609695462841,0.07727992946917264,0.00013291235341057473,0.000580337000428699,0.0004482700911466964,0.7902086587519469
Reid_ld16_tok32_h128_head2,test,100,38,0.631498883206286,0.7992674933746551,0.05337177037047704,8.73967963128196e-05,0.0005436322619636101,0.00042149249776756684,0.7989792259147074
Reid_ld16_tok32_h192_head4,val,10,20,-1.2103524784632862,0.6891395024906586,0.11073577315466084,4.583450800055289e-06,4.488473609853827e-06,1.3743532826993033e-05,3.062684248380385
Reid_ld16_tok32_h192_head4,test,10,38,-1.6622895179477792,0.6571052784201982,0.14621801614712845,4.526029451761515e-06,4.555915821631635e-06,1.3126660519446887e-05,2.8470150999089276
Reid_ld16_tok32_h192_head4,val,20,20,0.023981593201734763,0.6793611290710581,0.07399889899661162,4.701621327285465e-06,1.8944466683024074e-05,2.5274615518355857e-05,1.3377259773596772
Reid_ld16_tok32_h192_head4,test,20,38,-0.021870284507777837,0.663723999404634,0.0862326308997911,4.689440171851426e-06,1.8967649817855808e-05,2.4385450567359313e-05,1.2752861696521165
Reid_ld16_tok32_h192_head4,val,30,20,0.2781331313937432,0.6703415935672478,0.06647986190379764,8.08446760629522e-06,4.442684421519516e-05,4.327577162257512e-05,0.9790498900805156
Reid_ld16_tok32_h192_head4,test,30,38,0.2744641995070377,0.6657611074245129,0.0738101058337914,7.461131265005717e-06,4.3955074081742695e-05,4.195276343173311e-05,0.9523360881313919
Reid_ld16_tok32_h192_head4,val,40,20,0.3220788817016301,0.6636907123750614,0.07034657024724388,1.4913567656549277e-05,8.167323358065914e-05,6.961968738323776e-05,0.8588755936617369
Reid_ld16_tok32_h192_head4,test,40,38,0.35877964530809625,0.6671026874745498,0.07271883980357766,1.2793899740795736e-05,7.995633763800327e-05,6.758885779402733e-05,0.8478979382896675
Reid_ld16_tok32_h192_head4,val,50,20,0.3188312083918272,0.6578281438019395,0.07684031280295778,2.5358803509334393e-05,0.00013127350466675126,0.00010616467843647115,0.8173115604739918
Reid_ld16_tok32_h192_head4,test,50,38,0.3870761296413452,0.6679702411938381,0.0747036634699875,2.066954010914694e-05,0.0001273059148699854,0.00010297857730428835,0.8151913034974753
Reid_ld16_tok32_h192_head4,val,60,20,0.305884197014738,0.6517699372594727,0.08339886941817773,3.970734776430618e-05,0.00019373622417333535,0.00015456104156328366,0.8092676004291566
Reid_ld16_tok32_h192_head4,test,60,38,0.39729284646119156,0.6682538348551746,0.0773967557009179,3.118423490521213e-05,0.00018629207471875767,0.0001495350651997509,0.8124349156311914
Reid_ld16_tok32_h192_head4,val,70,20,0.29215933165145835,0.6453187521515887,0.08947396952523459,5.83467332944565e-05,0.0002695090508495923,0.00021609685827570502,0.816954203105728
Reid_ld16_tok32_h192_head4,test,70,38,0.40076999710748407,0.6678670245875576,0.08009673951228057,4.45411603538416e-05,0.0002571933858378447,0.00020832057749717742,0.8231365901791483
Reid_ld16_tok32_h192_head4,val,80,20,0.2798481377082158,0.6387740231044806,0.0949622467792741,8.171930824119045e-05,0.0003589820029446855,0.00029157537428545763,0.8316286773178068
Reid_ld16_tok32_h192_head4,test,80,38,0.40187645834395835,0.6671489860988339,0.08254438080664127,6.098379704828978e-05,0.0003402265796658436,0.00027999110017461995,0.8395138433108096
Reid_ld16_tok32_h192_head4,val,90,20,0.2694514411297334,0.6326507365550194,0.09987116397888915,0.0001102320798281653,0.00046249211591202765,0.000381275886320509,0.84844200400725
Reid_ld16_tok32_h192_head4,test,90,38,0.40209505222371034,0.6662058905576639,0.08470118457312623,8.078316872534312e-05,0.00043563711867471665,0.000364792275496783,0.8572609079281487
Reid_ld16_tok32_h192_head4,val,100,20,0.2610675552701722,0.6273113442598863,0.1042668236246381,0.0001442276322904945,0.000580337000428699,0.00048503226425964383,0.864632328107928
Reid_ld16_tok32_h192_head4,test,100,38,0.40236644685829626,0.66532038376471,0.08655811152351821,0.00010417391855585983,0.0005436322619636101,0.0004626393531093766,0.8740900984508964
Reid_ld16_tok64_h192_head4,val,10,20,-0.7315687689406163,0.6962725285735823,0.0867493344466093,4.389145425420793e-06,4.488473609853827e-06,1.1381995341253059e-05,2.5327228782356372
Reid_ld16_tok64_h192_head4,test,10,38,-0.07862487346486113,0.7174667574733226,0.059240134516456835,4.460062020945388e-06,4.555915821631635e-06,1.1477654604612708e-05,2.501277597958115
