dataset,split,sim_idx,target_index,rollout_steps,pred_p_ratio,true_p_ratio,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse
Reid_ld4_tok16_h128_head2,val,7,20,20,0.24176597070112332,-0.36194396494489445,1.4300342627393547e-05,2.0851415683864616e-05,3.442062734393403e-05,1.6507573330174234
Reid_ld4_tok16_h128_head2,val,8,20,20,0.06730272046436375,0.3510334711294839,5.858748409082182e-06,1.9442304619587958e-05,3.554016802809201e-05,1.827981235942862
Reid_ld4_tok16_h128_head2,val,9,20,20,0.06025578408494781,-0.0012198355873773534,4.130381967115682e-06,1.84094715223182e-05,3.317408845759928e-05,1.802011992434526
Reid_ld4_tok16_h128_head2,val,10,20,20,-0.2501897533206831,-0.4485010794414232,5.301439614413539e-06,2.061557643173728e-05,1.0678306352929212e-05,0.5179727274804776
Reid_ld4_tok16_h128_head2,val,11,20,20,-0.09956650695870409,-0.21018351123108547,5.424338269222062e-06,1.9986242477898486e-05,2.4171888071577996e-05,1.2094263390583873
Reid_ld4_tok16_h128_head2,val,12,20,20,-0.21656933999915978,-0.3996895932037249,4.02729574489058e-06,1.9487255485728383e-05,2.25653075176524e-05,1.1579520540580097
Reid_ld4_tok16_h128_head2,val,13,20,20,-0.13399951842041896,-0.024888338804283486,4.107955192012014e-06,1.869008337962441e-05,2.930438131443225e-05,1.5679106785783177
Reid_ld4_tok16_h128_head2,val,14,20,20,-0.07398084957313751,0.27532425769107083,1.6930051060626283e-05,1.76801531779347e-05,5.480050094774924e-05,3.099548991246395
Reid_ld4_tok16_h128_head2,val,15,20,20,-0.005074353372330679,-0.03946871119270018,5.766259164374787e-06,1.7046526409103535e-05,3.0778508516959846e-05,1.8055589612979965
Reid_ld4_tok16_h128_head2,val,16,20,20,-0.020416508455764232,-0.23605588393336915,1.1040980098186992e-05,1.7951570043805987e-05,4.575561615638435e-05,2.5488364552365086
Reid_ld4_tok16_h128_head2,val,17,20,20,0.06226619740133254,-0.5222855907235722,7.877038115111645e-06,2.2249338144320063e-05,2.287116330990102e-05,1.02794802980419
Reid_ld4_tok16_h128_head2,val,18,20,20,-0.1021911649196934,0.14641795079751285,2.8442141228879336e-06,1.7012662283377722e-05,1.4830865438852925e-05,0.8717545315258195
Reid_ld4_tok16_h128_head2,val,19,20,20,0.2610612623762376,-0.39006784260515603,9.025352483149618e-06,1.940766378538683e-05,1.81032173713902e-05,0.9327870459617699
Reid_ld4_tok16_h128_head2,test,0,20,20,-0.03568514280027864,-0.01726349545697488,3.361493099873769e-06,1.727534254314378e-05,2.5854540581349283e-05,1.4966152200328096
Reid_ld4_tok16_h128_head2,test,1,20,20,-0.15808567043393332,0.020831104931008666,3.3135975172626786e-06,1.660167981754057e-05,1.746847920003347e-05,1.052211546784385
Reid_ld4_tok16_h128_head2,test,2,20,20,-0.08566583502261033,0.13419318004878808,3.7492343381018145e-06,1.9053917640121654e-05,2.755571222223807e-05,1.4461966689839296
Reid_ld4_tok16_h128_head2,test,3,20,20,0.10225631479282345,0.14761367512397344,6.585296432604082e-06,1.8113385522156022e-05,4.1799408791121095e-05,2.30765301936475
Reid_ld4_tok16_h128_head2,test,4,20,20,-0.04917635071205027,0.36237942122186495,2.087422581098508e-05,1.844550388341304e-05,6.262580427573994e-05,3.395179913304274
Reid_ld4_tok16_h128_head2,test,5,20,20,-0.04674214818670831,0.06862745098039216,2.894012368415133e-06,1.790535134205129e-05,2.0095190848223865e-05,1.1223008398070171
Reid_ld4_tok16_h128_head2,test,6,20,20,0.18498060673223438,0.36145548220898405,5.948694706603419e-06,1.8178632672061212e-05,3.986018055002205e-05,2.1926940969154005
Reid_ld4_tok16_h128_head2,test,7,20,20,0.15204482119669094,0.31196981524850376,1.195335244119633e-05,1.8766175344353542e-05,5.615829286398366e-05,2.99252734419754
Reid_ld4_tok16_h128_head2,test,8,20,20,-0.3612335653518948,-0.1672125036611018,6.8294584707473405e-06,1.967191928997636e-05,3.4820670407498255e-05,1.7700698083506676
Reid_ld4_tok16_h128_head2,test,9,20,20,-0.044605884489647654,-0.3302799772292087,6.217576810740866e-06,1.9954191884608008e-05,2.9165583327994682e-05,1.4616268850502552
Reid_ld4_tok16_h128_head2,test,10,20,20,0.12869193062778372,0.038956187630076314,1.916482870001346e-05,1.6895875887712464e-05,6.489157385658473e-05,3.8406753392274364
Reid_ld4_tok16_h128_head2,test,11,20,20,-0.06120422823103428,-0.004654410053525715,3.617720949478098e-06,1.8043239833787084e-05,3.003061283379793e-05,1.6643692103212944
Reid_ld4_tok16_h128_head2,test,12,20,20,0.17941149340466747,0.20003668955395984,1.8687336478251382e-06,1.8434677258483134e-05,2.109601155098062e-05,1.144365656918285
Reid_ld4_tok16_h128_head2,test,13,20,20,0.12234762979683973,0.27103295777613984,6.245104486879427e-06,1.8635570086189546e-05,4.121010715607554e-05,2.211368204217994
Reid_ld4_tok16_h128_head2,test,14,20,20,-0.42258872413694964,-0.6221358216692587,1.104612420022022e-05,2.8113194275647402e-05,5.726322342525236e-05,2.0368807209807427
Reid_ld4_tok16_h128_head2,test,15,20,20,-0.14548361310951238,-0.5288250969631408,7.903219739091583e-06,2.3026816052151844e-05,2.9369248295552097e-05,1.2754367876581685
Reid_ld4_tok16_h128_head2,test,16,20,20,-0.15811751601225285,-0.4106264699593757,5.5587147471669596e-06,2.192802458012011e-05,1.5390281987492926e-05,0.7018544662452503
Reid_ld4_tok16_h128_head2,test,17,20,20,0.30361241496246977,-0.44328727572695403,1.4666856259282213e-05,2.247369775432162e-05,3.0137558496790007e-05,1.3410146752994687
Reid_ld4_tok16_h128_head2,test,18,20,20,0.30506592643997227,0.36251475163609054,5.8836544667428825e-06,1.850582702900283e-05,3.419828863115981e-05,1.8479740774386
Reid_ld4_tok16_h128_head2,test,19,20,20,0.1664569446333832,0.1784951404464381,5.325670372258173e-06,1.7283893612329848e-05,3.649982681963593e-05,2.1117826595274787
Reid_ld4_tok16_h128_head2,test,20,20,20,-0.19002411551024145,-0.27674513608742274,7.783813089190517e-06,2.0414261598489247e-05,4.2915151425404474e-05,2.1022142397048738
Reid_ld4_tok16_h128_head2,test,21,20,20,-0.061046922895543504,0.042702905946178225,2.7407045308791567e-06,1.7470585589762777e-05,2.0572500943671912e-05,1.1775507373792187
Reid_ld4_tok16_h128_head2,test,22,20,20,0.23004546353034197,-0.0732763228220203,7.409255431412021e-06,1.6848485756781884e-05,2.6535955839790404e-05,1.5749757113400593
Reid_ld4_tok16_h128_head2,test,23,20,20,0.10525138831948119,-0.3038191738113796,7.72244038671488e-06,2.0498826415860094e-05,3.215694960090332e-05,1.5687214940277385
Reid_ld4_tok16_h128_head2,test,24,20,20,0.04095669845239956,0.044393335651057686,2.405609393463237e-06,1.6786418200354092e-05,1.553614674776327e-05,0.9255188666415776
Reid_ld4_tok16_h128_head2,test,25,20,20,0.006273141051340707,0.3481852582209668,2.1031541109550744e-05,1.8597240341478027e-05,6.521488830912858e-05,3.5066970750320254
Reid_ld4_tok16_h128_head2,test,26,20,20,-0.23647249535574408,-0.5877368032585222,2.7860218324349262e-05,2.295606282132212e-05,8.122137660393491e-05,3.538123119635943
Reid_ld4_tok16_h128_head2,test,27,20,20,0.04895147774189593,0.26345462468678504,3.341272531542927e-06,1.739990148053039e-05,2.6639556381269358e-05,1.5310176561101612
Reid_ld4_tok16_h128_head2,test,28,20,20,-0.04772518460543778,0.3978755124860231,7.96013500803383e-06,1.9496736058499664e-05,3.696399653563276e-05,1.8959069058904445
Reid_ld4_tok16_h128_head2,test,29,20,20,-0.08554123642573175,0.1687750200160128,1.484698077547364e-05,1.7156402464024723e-05,5.237635559751652e-05,3.052875199643081
Reid_ld4_tok16_h128_head2,test,30,20,20,-0.010384989346076666,0.28623626447435585,3.5973703234049026e-06,1.730281292111613e-05,2.1146743165445514e-05,1.2221563778013402
Reid_ld4_tok16_h128_head2,test,31,20,20,-0.09474991131606952,-0.12000421807444901,5.323045115801506e-06,1.7650589143158868e-05,2.9404480301309377e-05,1.665920613913681
